"Date_UTC","source_pm2p5","Org","NH4","SO4","NO3","Chl","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","PM1","PM2p5","PM10","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm","qc_flag_PM1","qc_flag_PM2p5","qc_flag_PM10"
2024-05-01,"BAQS",0.155836229982894,3.48198137305932,0,1.43560794315806,0.254577550080744,0.455660714285714,0.426571428571429,0.405035714285714,0.400946428571429,0.386535714285714,0.37775,0.384857142857143,5.40217616666667,6.27213705,7.81880145,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 01:00:00,"BAQS",1.55935375839707,3.46221161168133,0,1.71041558131237,0.356165771291687,0.56945,0.478733333333333,0.44295,0.4348,0.414816666666667,0.407883333333333,0.408966666666667,5.88799328333333,6.80576501666667,8.69986023333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 02:00:00,"BAQS",1.77222926817002,3.57188753474552,0,1.73301325337801,0.287518843706445,0.433466666666667,0.406716666666667,0.378783333333333,0.370866666666667,0.352216666666667,0.349366666666667,0.348733333333333,6.86589965,7.7101489,9.29433798333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 03:00:00,"BAQS",0.260183216271319,3.78665376034061,0.0888741486479291,1.71731305324759,0.245560488750323,0.367416666666667,0.35145,0.3262,0.319216666666667,0.302083333333333,0.294266666666667,0.2929,6.94016941666667,7.60543601666667,9.04026491666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 04:00:00,"BAQS",0,3.65077746409966,0.0367232342133187,1.88053288710818,0.104191439413657,0.3766,0.3718,0.349866666666667,0.34275,0.326733333333333,0.31985,0.31995,6.91145596666667,7.51177133333333,8.59531245,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 05:00:00,"BAQS",1.19025248937224,6.04238431397652,0,3.55552721229974,0.239891675749978,0.4997,0.499266666666667,0.47495,0.4709,0.454566666666667,0.45085,0.453883333333333,6.88851688333333,7.53996753333333,9.45797543333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 06:00:00,"BAQS",0.486864510751736,7.69911981248163,0.21587790703581,4.42227461326043,0.514414271506757,0.59215,0.596783333333333,0.57015,0.568383333333333,0.551233333333333,0.551216666666667,0.55755,6.61080606666667,7.21004216666667,8.79779215,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 07:00:00,"BAQS",0.77188502199162,7.82780088236938,0.0659666503037995,4.43139749563847,0.550235683642918,0.617583333333333,0.63205,0.5992,0.592116666666667,0.5707,0.556383333333333,0.561333333333333,11.7040209833333,12.7398977333333,15.1216960666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 08:00:00,"BAQS",1.3768078937118,5.72786454954524,0.214183435441016,3.06578422277247,0.425210738072473,0.53345,0.54375,0.51385,0.506916666666667,0.488383333333333,0.470433333333333,0.474816666666667,13.5700341,14.85801485,17.69168345,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 09:00:00,"BAQS",1.20344749392647,5.12330552147592,0.237344180444031,2.30872434142605,0.303161111431165,0.520883333333333,0.529116666666667,0.500266666666667,0.49335,0.475183333333333,0.452083333333333,0.457416666666667,12.8262661,14.2194703,16.90584895,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 10:00:00,"BAQS",0.75951035588914,4.31515703131691,0.164416833943612,2.22535957717812,0.406437354800997,0.743716666666667,0.751183333333333,0.71135,0.701883333333333,0.677316666666667,0.64885,0.6576,10.5503571,11.8568041333333,14.5448755833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 11:00:00,"BAQS",0.0736346697726206,7.96138819498899,0.179086660193183,4.96820950166185,0.800971809693947,0.877766666666667,0.881966666666667,0.8282,0.810533333333333,0.777183333333333,0.745183333333333,0.753733333333333,9.32686961666667,10.55171325,13.7627660333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 12:00:00,"BAQS",0.913743221621023,8.15686397978421,0,4.79973415983609,0.479263348400734,0.7523,0.738733333333333,0.6999,0.6903,0.66775,0.636483333333333,0.6483,11.4300092333333,12.89763615,17.2364062166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 13:00:00,"BAQS",2.11940915815084,6.7514672079899,0.803509621614932,4.22874067048818,0.343706932730261,0.84835,0.83315,0.792466666666667,0.783083333333333,0.760133333333333,0.721866666666667,0.738316666666667,14.83968425,16.5124327166667,21.2673365666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 14:00:00,"BAQS",2.50162580390231,6.47476258647294,1.01703794601202,4.96826668278169,0.55431969868773,0.868283333333333,0.849833333333333,0.805166666666667,0.792316666666667,0.7666,0.724166666666667,0.73685,14.0602972666667,15.5965123333333,20.24547765,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 15:00:00,"BAQS",1.46371727732214,4.50242329905298,1.38251574415437,3.98104640024506,0.418279629718105,0.7759,0.7513,0.712083333333333,0.697833333333333,0.675116666666667,0.636916666666667,0.649283333333333,17.7781795,19.4984355333333,25.2415766,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 16:00:00,"BAQS",1.12289639922813,3.34379652741823,0.63058248716609,1.97545725861319,0.174005308005066,0.761316666666667,0.736333333333333,0.695216666666667,0.683183333333333,0.658616666666667,0.62715,0.640716666666667,18.9479795666667,20.6412144666667,26.6433151166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 17:00:00,"BAQS",1.24429049493194,5.04650383908671,0.461606533189516,2.95736856037488,0.318696258749012,0.922583333333333,0.906416666666667,0.862933333333333,0.849066666666667,0.821483333333333,0.786416666666667,0.801416666666667,14.6540058,15.92240205,20.3943855666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 18:00:00,"BAQS",1.01530521232813,8.05845179561398,0,5.29162822520897,0.411691519439149,1.05748333333333,1.02373333333333,0.97285,0.958416666666667,0.927066666666667,0.894833333333333,0.909916666666667,10.1401037333333,11.3867785666667,15.4297669333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 19:00:00,"BAQS",1.12573986642384,10.227326153683,0.305727677086547,7.67442352047462,0.715423843029736,1.3581,1.2823,1.21076666666667,1.1859,1.1444,1.10285,1.1239,12.94468185,14.69544995,19.6423762,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 20:00:00,"BAQS",1.07604423572997,7.96759558030815,0.36434913090731,6.40654353640698,0.615072238576022,0.8875,0.82325,0.768233333333333,0.743366666666667,0.710566666666667,0.677266666666667,0.687016666666667,16.4626900833333,19.1675585833333,25.9046629666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 21:00:00,"BAQS",0.855230899083587,1.36751239668257,0,0.847815406282726,0.173773794011826,0.618233333333333,0.57275,0.53185,0.511383333333333,0.484516666666667,0.464433333333333,0.469133333333333,19.65034025,23.2549422,31.4077448833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 22:00:00,"BAQS",0,2.28305046318748,0,1.05299126171238,0.0780885118259482,0.760666666666667,0.701883333333333,0.652266666666667,0.627266666666667,0.594333333333333,0.571283333333333,0.577083333333333,11.24700995,15.5720750166667,23.9721549666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-01 23:00:00,"BAQS",1.118540852795,3.60106072857388,0,2.13044156485245,0.268092980593461,0.812816666666667,0.753216666666667,0.705016666666667,0.680433333333333,0.6463,0.6246,0.6303,6.71977463333333,11.5561129333333,20.7964804833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02,"BAQS",1.75357694067591,11.0428616955026,0.616158126217904,8.35762405149942,0.757058037583204,1.07168333333333,1.01575,0.965083333333333,0.94605,0.9062,0.88685,0.896333333333333,8.10918175,13.3555477,23.4911458166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 01:00:00,"BAQS",1.01934985424555,14.6670896391729,0.696644870176218,11.3525656674384,0.927343272078392,0.906016666666667,0.877316666666667,0.839783333333333,0.826633333333333,0.792733333333333,0.77735,0.782,12.27238535,17.5066842166667,27.5136102333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 02:00:00,"BAQS",1.66192404631147,16.76606772849,0.779113364133299,12.8323510091508,1.7240384634946,0.9292,0.922516666666667,0.889766666666667,0.87985,0.843583333333333,0.83095,0.836566666666667,20.40864815,23.91397925,31.4669732166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 03:00:00,"BAQS",1.8710707417714,17.5299405723634,0.352861813620929,13.8792769357126,2.13873067164675,0.970214285714286,0.878946428571429,0.833089285714286,0.829482142857143,0.794946428571429,0.772071428571429,0.774571428571429,22.97268575,25.8452071333333,32.3764606833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 04:00:00,"BAQS",2.75752952250402,13.521514562766,0.452893974373882,11.3777723011677,1.85131390585511,0.78035,0.774933333333333,0.7399,0.734883333333333,0.705933333333333,0.689383333333333,0.68475,28.1451646166667,30.6490242666667,36.3897596833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 05:00:00,"BAQS",1.86714296056813,12.2371023100111,0.0864046378564893,10.7056647053661,1.77427615507526,0.777883333333333,0.780116666666667,0.7439,0.739266666666667,0.711316666666667,0.69605,0.693766666666667,30.2796259833333,33.1857903166667,39.8320677,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 06:00:00,"BAQS",1.62803478272045,11.9430708953342,0.41261858064105,10.1206943149707,2.02057492895953,0.82685,0.84265,0.8031,0.797533333333333,0.767366666666667,0.749966666666667,0.748266666666667,25.5333785833333,28.2564871666667,34.5018789,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 07:00:00,"BAQS",1.85909135775246,9.65569936175936,0,9.21699074067377,2.18109211701737,0.965283333333333,0.992766666666667,0.946416666666667,0.940966666666667,0.9048,0.893166666666667,0.892133333333333,24.2272801,26.8513474833333,33.0349089333333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 08:00:00,"BAQS",0.514480805371228,9.37456917224469,0.800832756794639,8.10155308536622,2.48464969735056,1.09253333333333,1.11403333333333,1.06245,1.05393333333333,1.01115,0.98815,0.987566666666667,22.4742359333333,25.0214218833333,30.72405025,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 09:00:00,"BAQS",2.21241418941696,7.63882263920344,0.509215898120005,6.28854513375863,2.42750646483764,1.14893333333333,1.17301666666667,1.11983333333333,1.11103333333333,1.06385,1.0445,1.04475,22.4316379833333,25.4682193333333,32.5716476833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 10:00:00,"BAQS",1.89103239113349,6.46094301471585,0.00711230131676214,5.10748606846808,1.76725608513209,1.22885,1.23785,1.1821,1.17001666666667,1.11751666666667,1.09876666666667,1.09885,22.24016745,26.2747523,34.37990025,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 11:00:00,"BAQS",1.26978649689149,7.76378150130256,0.618856721603665,6.1785620913357,1.72233322207765,1.20113333333333,1.20013333333333,1.1474,1.13538333333333,1.08503333333333,1.06721666666667,1.06963333333333,21.6310786779661,26.7517149830508,37.5442551016949,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 12:00:00,"BAQS",2.3308030088826,5.65400536427268,1.32428574863999,6.46069714878471,1.66100076327253,1.30183333333333,1.2854,1.22451666666667,1.20791666666667,1.15358333333333,1.13146666666667,1.13431666666667,21.6978921,27.3762995333333,40.6496753833333,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 13:00:00,"BAQS",2.85735787242667,7.13938607582215,0.593414687044401,7.09719426556615,2.28947554976037,1.26776666666667,1.24176666666667,1.18525,1.16715,1.11536666666667,1.08381666666667,1.08941666666667,22.7321191333333,28.8559096,43.2603719666667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 14:00:00,"BAQS",3.13050159030113,8.88272147109064,0.384175442751208,10.9517229464183,2.38547153438166,1.46495,1.4371,1.37321666666667,1.35698333333333,1.305,1.2763,1.28688333333333,23.2531778333333,29.7365142,46.2038349166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 15:00:00,"BAQS",3.41533361605968,10.9466008421663,0.263828227249301,12.8328505449047,3.23043323664665,1.54066666666667,1.482,1.41048333333333,1.38416666666667,1.3256,1.27301666666667,1.28658333333333,24.6892951666667,31.1732163666667,47.91004055,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 16:00:00,"BAQS",2.7711818407903,10.3440968328784,0,11.9375995971768,2.73536490656147,1.50483333333333,1.46808333333333,1.40453333333333,1.38106666666667,1.33006666666667,1.27298333333333,1.28906666666667,27.13888115,33.68483105,47.5602654166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
2024-05-02 17:00:00,"BAQS",2.72040449370311,9.80204624431911,0.233792500966422,12.0257295164541,2.74687321220454,1.7009,1.5636,1.47546666666667,1.43746666666667,1.37545,1.30315,1.31786666666667,27.6758342333333,34.6611725333333,49.3345937166667,"3b","3b","3b","3b","2b","1b","1b","1b","1b","1b","1b","1b",1,1,1
