"Date_UTC","NO","NOy","NO2","O3","qc_flag_NO","qc_flag_NOy","qc_flag_NO2","qc_flag_O3"
2022-03-01,0.206666666666667,3.59665,6.99566666666667,23.34485,"1b","1b","1b","1b"
2022-03-01 01:00:00,0.224883333333333,2.23548333333333,4.46945833333333,24.1960454545455,"1b","1b","1b","1b"
2022-03-01 02:00:00,0.239433333333333,3.3862,6.25198333333333,22.48105,"1b","1b","1b","1b"
2022-03-01 03:00:00,0.165516666666667,3.15315,5.86995,22.0698333333333,"1b","1b","1b","1b"
2022-03-01 04:00:00,0.201583333333333,3.3975,6.3802,21.0797333333333,"1b","1b","1b","1b"
2022-03-01 05:00:00,0.275083333333333,3.85276666666666,7.39111666666667,20.7194166666667,"1b","1b","1b","1b"
2022-03-01 06:00:00,0.370983333333333,6.71295,10.8365166666667,18.3436666666667,"1b","1b","1b","1b"
2022-03-01 07:00:00,1.53488333333333,11.60305,16.04035,16.4431,"1b","1b","1b","1b"
2022-03-01 08:00:00,4.54888333333333,17.91205,19.6287833333333,16.4340333333333,"1b","1b","1b","1b"
2022-03-01 09:00:00,5.67446666666667,16.1616,16.4182333333333,18.553,"1b","1b","1b","1b"
2022-03-01 10:00:00,3.68921666666667,12.3519166666666,13.5319,19.75775,"1b","1b","1b","1b"
2022-03-01 11:00:00,2.70658333333333,8.35141666666666,9.30978333333333,22.8868833333333,"1b","1b","1b","1b"
2022-03-01 12:00:00,1.34435,4.95018333333333,6.75318333333333,24.60085,"1b","1b","1b","1b"
2022-03-01 13:00:00,0.889383333333333,5.08635,7.7334,24.2785333333333,"1b","1b","1b","1b"
2022-03-01 14:00:00,0.86165,5.0936,7.59945,26.1063333333333,"1b","1b","1b","1b"
2022-03-01 15:00:00,0.690266666666667,3.97211666666666,6.26531666666667,27.5640166666667,"1b","1b","1b","1b"
2022-03-01 16:00:00,0.607566666666667,4.50536666666666,7.2261,26.92,"1b","1b","1b","1b"
2022-03-01 17:00:00,0.3228,3.59723333333333,6.24845,27.7189,"1b","1b","1b","1b"
2022-03-01 18:00:00,0.264466666666667,3.57945,6.49803333333333,27.5580333333333,"1b","1b","1b","1b"
2022-03-01 19:00:00,0.2282,4.0826,7.12396666666667,26.2987166666667,"1b","1b","1b","1b"
2022-03-01 20:00:00,0.256733333333333,3.31905,6.17751666666667,26.9336333333333,"1b","1b","1b","1b"
2022-03-01 21:00:00,2.46166666666667,7.34176666666666,8.30796666666667,26.3205166666667,"1b","1b","1b","1b"
2022-03-01 22:00:00,2.96813333333333,8.32095,9.20541666666667,26.0659833333333,"1b","1b","1b","1b"
2022-03-01 23:00:00,0.78675,2.35236666666666,4.64576666666667,27.6756333333333,"1b","1b","1b","1b"
2022-03-02,0.511116666666667,1.89575,4.43526666666667,26.02795,"1b","1b","1b","1b"
2022-03-02 01:00:00,0.2615,0.64746666666666,2.59825,25.0067045454545,"1b","1b","1b","1b"
2022-03-02 02:00:00,0.1884,0.92025,3.39388333333333,22.3126,"1b","1b","1b","1b"
2022-03-02 03:00:00,0.178,2.91285,6.19526666666667,17.3031333333333,"1b","1b","1b","1b"
2022-03-02 04:00:00,0.2734,6.85991666666666,10.8398,11.41205,"1b","1b","1b","1b"
2022-03-02 05:00:00,0.46565,13.9255333333333,19.6366,6.07825,"1b","1b","1b","1b"
2022-03-02 06:00:00,0.844533333333333,17.7906166666666,23.5192166666667,5.70135,"1b","1b","1b","1b"
2022-03-02 07:00:00,0.8256,13.2036666666666,16.7247166666667,10.2043,"1b","1b","1b","1b"
2022-03-02 08:00:00,1.00788333333333,9.81865,12.4538833333333,12.6586,"1b","1b","1b","1b"
2022-03-02 09:00:00,1.78013333333333,10.8863666666667,12.8464166666667,13.0442833333333,"1b","1b","1b","1b"
2022-03-02 10:00:00,1.23311666666667,9.58401666666666,12.0791166666667,14.97095,"1b","1b","1b","1b"
2022-03-02 11:00:00,1.28426666666667,8.82408333333333,10.9292333333333,18.62715,"1b","1b","1b","1b"
2022-03-02 12:00:00,0.931683333333333,8.58295,11.11015,19.76035,"1b","1b","1b","1b"
2022-03-02 13:00:00,1.19976666666667,10.4947166666667,12.9246,18.7994166666667,"1b","1b","1b","1b"
2022-03-02 14:00:00,1.14703333333333,11.322,13.7555333333333,18.3417333333333,"1b","1b","1b","1b"
2022-03-02 15:00:00,0.837,10.5545333333333,12.8476166666667,20.7868666666667,"1b","1b","1b","1b"
2022-03-02 16:00:00,0.761516666666667,11.8679833333333,14.9491,20.0661666666667,"1b","1b","1b","1b"
2022-03-02 17:00:00,0.527366666666667,12.3338,15.75645,19.4537833333333,"1b","1b","1b","1b"
2022-03-02 18:00:00,0.465383333333333,13.1486333333333,16.64925,16.7921,"1b","1b","1b","1b"
2022-03-02 19:00:00,0.847333333333333,15.4383166666666,18.82615,13.5322,"1b","1b","1b","1b"
2022-03-02 20:00:00,2.34943333333333,19.8314666666666,21.4139333333333,10.7331666666667,"1b","1b","1b","1b"
2022-03-02 21:00:00,0.5992,15.0133666666666,17.0599833333333,13.0065833333333,"1b","1b","1b","1b"
2022-03-02 22:00:00,0.6,14.6155333333333,16.5336833333333,11.3115333333333,"1b","1b","1b","1b"
2022-03-02 23:00:00,0.455366666666667,14.9345166666666,16.6119333333333,9.94873333333333,"1b","1b","1b","1b"
2022-03-03,0.8158,14.96125,17.5050333333333,9.5711,"1b","1b","1b","1b"
2022-03-03 01:00:00,0.367483333333333,12.4255333333333,13.795,11.3596136363636,"1b","1b","1b","1b"
2022-03-03 02:00:00,0.45195,13.7225333333333,14.9740333333333,9.58428333333333,"1b","1b","1b","1b"
2022-03-03 03:00:00,0.57575,16.35125,17.25455,7.11085,"1b","1b","1b","1b"
2022-03-03 04:00:00,0.6148,17.37795,18.3789,5.7195,"1b","1b","1b","1b"
2022-03-03 05:00:00,0.886016666666667,18.5712166666666,19.5298,4.55321666666667,"1b","1b","1b","1b"
2022-03-03 06:00:00,1.26375,19.67135,19.8737333333333,4.48218333333333,"1b","1b","1b","1b"
2022-03-03 07:00:00,4.57415,23.4653,20.3392333333333,4.07713333333333,"1b","1b","1b","1b"
2022-03-03 08:00:00,10.42185,29.9237,20.4296166666667,4.60713333333333,"1b","1b","1b","1b"
2022-03-03 09:00:00,10.0765666666667,27.4735166666666,17.4292,6.811,"1b","1b","1b","1b"
2022-03-03 10:00:00,6.27445,21.3536333333333,15.73275,9.16371666666667,"1b","1b","1b","1b"
2022-03-03 11:00:00,6.39506666666667,21.52305,15.7895666666667,9.2107,"1b","1b","1b","1b"
2022-03-03 12:00:00,7.87946666666667,22.8618666666666,15.8815666666667,9.47328333333333,"1b","1b","1b","1b"
2022-03-03 13:00:00,4.43888333333333,19.5896666666666,16.2961833333333,9.8005,"1b","1b","1b","1b"
2022-03-03 14:00:00,1.92285,13.2994,12.37025,15.4568333333333,"1b","1b","1b","1b"
2022-03-03 15:00:00,1.61086666666667,12.8321166666666,13.9308333333333,15.0459333333333,"1b","1b","1b","1b"
2022-03-03 16:00:00,1.44571666666667,15.0563833333333,17.62675,12.8189666666667,"1b","1b","1b","1b"
2022-03-03 17:00:00,1.20085,17.1024333333333,21.4235666666667,11.0237666666667,"1b","1b","1b","1b"
2022-03-03 18:00:00,0.60435,13.8671833333333,16.8385166666667,14.88705,"1b","1b","1b","1b"
2022-03-03 19:00:00,0.383983333333333,7.9654,10.8225666666667,19.1812666666667,"1b","1b","1b","1b"
2022-03-03 20:00:00,0.846483333333333,10.98635,13.6188166666667,15.66115,"1b","1b","1b","1b"
