"Date_UTC","SO2","NO","NOy","NO2","O3","qc_flag_SO2","qc_flag_NO","qc_flag_NOy","qc_flag_NO2","qc_flag_O3"
2024-07-01,NA,0.192416666666667,1.6213,3.05456666666667,13.5995666666667,"5b","1b","1b","1b","1b"
2024-07-01 01:00:00,NA,0.164066666666667,1.57426666666667,2.90013793103448,13.0456818181818,"5b","1b","1b","1b","1b"
2024-07-01 02:00:00,NA,0.16345,1.66686666666667,3.13985,12.0525333333333,"5b","1b","1b","1b","1b"
2024-07-01 03:00:00,NA,0.175283333333333,1.39545,2.95746666666667,13.0457,"5b","1b","1b","1b","1b"
2024-07-01 04:00:00,NA,0.299366666666667,1.81843333333333,3.50005,11.5345666666667,"5b","1b","1b","1b","1b"
2024-07-01 05:00:00,NA,1.42936666666667,6.46543333333333,8.2028,9.8835,"5b","1b","1b","1b","1b"
2024-07-01 06:00:00,NA,1.31443333333333,5.55473333333333,7.30458333333333,13.7127666666667,"5b","1b","1b","1b","1b"
2024-07-01 07:00:00,NA,1.31991666666667,3.48166666666667,4.56105,16.7552666666667,"5b","1b","1b","1b","1b"
2024-07-01 08:00:00,NA,1.2835,4.65961666666667,6.29655,15.0190166666667,"5b","1b","1b","1b","1b"
2024-07-01 09:00:00,NA,1.41093333333333,4.86795,6.18665,15.9945666666667,"5b","3b","3b","1b","1b"
2024-07-01 10:00:00,NA,5.40963333333333,11.3143833333333,9.63891666666667,12.7725666666667,"5b","3b","3b","1b","1b"
2024-07-01 11:00:00,NA,4.09965,9.54393333333333,9.60471666666667,12.4938333333333,"5b","3b","3b","1b","1b"
2024-07-01 12:00:00,NA,0.805416666666667,3.11291666666667,4.7358,17.7718166666667,"5b","3b","3b","1b","1b"
2024-07-01 13:00:00,NA,0.602,2.01625,3.39325,20.58345,"5b","1b","1b","1b","1b"
2024-07-01 14:00:00,NA,0.56255,1.91863333333333,3.34046666666667,20.2023166666667,"5b","1b","1b","1b","1b"
