"date (UTC+0)","NO (ppb)","NOy (ppb)","Flag"
2022-09-01,0.115,2.524,NA
2022-09-01 00:01:00,0.118,2.504,NA
2022-09-01 00:02:00,0.117,2.422,NA
2022-09-01 00:03:00,0.117,2.325,NA
2022-09-01 00:04:00,0.111,2.211,NA
2022-09-01 00:05:00,0.113,2.117,NA
2022-09-01 00:06:00,0.103,2.032,NA
2022-09-01 00:07:00,0.089,1.923,NA
2022-09-01 00:08:00,0.083,1.832,NA
2022-09-01 00:09:00,0.079,1.801,NA
2022-09-01 00:10:00,0.071,1.788,NA
2022-09-01 00:11:00,0.062,1.813,NA
2022-09-01 00:12:00,0.056,1.849,NA
2022-09-01 00:13:00,0.06,1.896,NA
2022-09-01 00:14:00,0.058,1.971,NA
2022-09-01 00:15:00,0.06,2.063,NA
2022-09-01 00:16:00,0.065,2.185,NA
2022-09-01 00:17:00,0.067,2.342,NA
2022-09-01 00:18:00,0.067,2.476,NA
2022-09-01 00:19:00,0.069,2.564,NA
2022-09-01 00:20:00,0.072,2.629,NA
2022-09-01 00:21:00,0.07,2.713,NA
2022-09-01 00:22:00,0.063,2.767,NA
2022-09-01 00:23:00,0.057,2.81,NA
2022-09-01 00:24:00,0.06,2.824,NA
2022-09-01 00:25:00,0.059,2.803,NA
2022-09-01 00:26:00,0.058,2.723,NA
2022-09-01 00:27:00,0.056,2.653,NA
2022-09-01 00:28:00,0.06,2.633,NA
2022-09-01 00:29:00,0.063,2.611,NA
2022-09-01 00:30:00,0.075,2.562,NA
2022-09-01 00:31:00,0.075,2.526,NA
2022-09-01 00:32:00,0.069,2.495,NA
2022-09-01 00:33:00,0.063,2.455,NA
2022-09-01 00:34:00,0.06,2.434,NA
2022-09-01 00:35:00,0.062,2.419,NA
2022-09-01 00:36:00,0.058,2.406,NA
2022-09-01 00:37:00,0.061,2.353,NA
2022-09-01 00:38:00,0.059,2.277,NA
2022-09-01 00:39:00,0.062,2.22,NA
2022-09-01 00:40:00,0.061,2.148,NA
2022-09-01 00:41:00,0.069,2.097,NA
2022-09-01 00:42:00,0.083,2.052,NA
2022-09-01 00:43:00,0.086,1.992,NA
2022-09-01 00:44:00,0.086,1.919,NA
2022-09-01 00:45:00,0.093,1.855,NA
2022-09-01 00:46:00,0.088,1.832,NA
2022-09-01 00:47:00,0.088,1.779,NA
2022-09-01 00:48:00,0.085,1.703,NA
2022-09-01 00:49:00,0.086,1.639,NA
2022-09-01 00:50:00,0.08,1.572,NA
2022-09-01 00:51:00,0.067,1.5,NA
2022-09-01 00:52:00,0.061,1.433,NA
2022-09-01 00:53:00,0.067,1.394,NA
2022-09-01 00:54:00,0.075,1.378,NA
2022-09-01 00:55:00,0.082,1.39,NA
2022-09-01 00:56:00,0.085,1.42,NA
2022-09-01 00:57:00,0.097,1.496,NA
2022-09-01 00:58:00,0.106,1.582,NA
2022-09-01 00:59:00,0.109,1.677,NA
2022-09-01 01:00:00,0.119,1.768,NA
2022-09-01 01:01:00,0.136,1.864,NA
2022-09-01 01:02:00,0.129,1.938,NA
2022-09-01 01:03:00,0.127,1.977,NA
2022-09-01 01:04:00,0.128,2.027,NA
2022-09-01 01:05:00,0.127,2.053,NA
2022-09-01 01:06:00,0.124,2.04,NA
2022-09-01 01:07:00,0.132,2.015,NA
2022-09-01 01:08:00,0.133,1.974,NA
2022-09-01 01:09:00,0.127,1.888,NA
2022-09-01 01:10:00,0.121,1.839,NA
2022-09-01 01:11:00,0.122,1.793,NA
2022-09-01 01:12:00,0.118,1.728,NA
2022-09-01 01:13:00,0.111,1.606,NA
2022-09-01 01:14:00,0.106,1.471,NA
2022-09-01 01:15:00,0.101,1.326,NA
2022-09-01 01:16:00,0.096,1.178,NA
2022-09-01 01:17:00,0.095,1.067,NA
2022-09-01 01:18:00,0.096,0.954,NA
2022-09-01 01:19:00,0.084,0.812,NA
2022-09-01 01:20:00,0.083,0.709,NA
2022-09-01 01:21:00,0.087,0.629,NA
2022-09-01 01:22:00,0.092,0.589,NA
2022-09-01 01:23:00,0.08,0.561,NA
2022-09-01 01:24:00,0.088,0.545,NA
2022-09-01 01:25:00,0.087,0.554,NA
2022-09-01 01:26:00,0.078,0.569,NA
2022-09-01 01:27:00,0.072,0.587,NA
2022-09-01 01:28:00,0.082,0.61,NA
2022-09-01 01:29:00,0.072,0.635,NA
2022-09-01 01:30:00,0.064,0.678,NA
2022-09-01 01:31:00,0.067,0.735,NA
2022-09-01 01:32:00,0.061,0.788,NA
2022-09-01 01:33:00,0.052,0.841,NA
2022-09-01 01:34:00,0.054,0.895,NA
2022-09-01 01:35:00,0.06,0.966,NA
2022-09-01 01:36:00,0.064,1.052,NA
2022-09-01 01:37:00,0.067,1.116,NA
2022-09-01 01:38:00,0.07,1.167,NA
2022-09-01 01:39:00,0.074,1.224,NA
2022-09-01 01:40:00,0.077,1.256,NA
2022-09-01 01:41:00,0.08,1.273,NA
