"date (UTC+0)","NO (ppb)","NOy (ppb)"
2025-06-01,0.177,0.217
2025-06-01 00:01:00,0.227,0.337
2025-06-01 00:02:00,0.306,0.532
2025-06-01 00:03:00,0.344,0.666
2025-06-01 00:04:00,0.367,0.749
2025-06-01 00:05:00,0.384,0.791
2025-06-01 00:06:00,0.379,0.78
2025-06-01 00:07:00,0.344,0.665
2025-06-01 00:08:00,0.31,0.591
2025-06-01 00:09:00,0.275,0.511
2025-06-01 00:10:00,0.213,0.377
2025-06-01 00:11:00,0.148,0.199
2025-06-01 00:12:00,0.117,NA
2025-06-01 00:13:00,0.074,NA
2025-06-01 00:14:00,0.092,NA
2025-06-01 00:15:00,0.133,0.137
2025-06-01 00:16:00,0.21,0.32
2025-06-01 00:17:00,0.433,0.736
2025-06-01 00:18:00,0.678,1.234
2025-06-01 00:19:00,0.747,1.376
2025-06-01 00:20:00,0.816,1.48
2025-06-01 00:21:00,0.837,1.506
2025-06-01 00:22:00,0.83,1.479
2025-06-01 00:23:00,0.788,1.368
2025-06-01 00:24:00,0.765,1.274
2025-06-01 00:25:00,0.662,1.013
2025-06-01 00:26:00,0.286,0.315
2025-06-01 00:27:00,0.215,NA
2025-06-01 00:28:00,0.135,NA
2025-06-01 00:29:00,0.084,NA
2025-06-01 00:30:00,0.095,NA
2025-06-01 00:31:00,0.14,NA
2025-06-01 00:32:00,0.183,NA
2025-06-01 00:33:00,0.253,NA
2025-06-01 00:34:00,0.283,NA
2025-06-01 00:35:00,0.344,0.378
2025-06-01 00:36:00,0.406,0.526
2025-06-01 00:37:00,0.403,0.557
2025-06-01 00:38:00,0.395,0.539
2025-06-01 00:39:00,0.366,0.46
2025-06-01 00:40:00,0.321,0.391
2025-06-01 00:41:00,0.261,0.289
2025-06-01 00:42:00,0.199,NA
2025-06-01 00:43:00,0.165,NA
2025-06-01 00:44:00,0.094,NA
2025-06-01 00:45:00,0.061,NA
2025-06-01 00:46:00,0.071,NA
2025-06-01 00:47:00,0.113,NA
2025-06-01 00:48:00,0.138,NA
2025-06-01 00:49:00,0.184,NA
2025-06-01 00:50:00,0.221,NA
2025-06-01 00:51:00,0.27,NA
2025-06-01 00:52:00,0.312,NA
2025-06-01 00:53:00,0.316,NA
2025-06-01 00:54:00,0.321,NA
2025-06-01 00:55:00,0.299,NA
2025-06-01 00:56:00,0.251,NA
2025-06-01 00:57:00,0.228,NA
2025-06-01 00:58:00,0.187,NA
2025-06-01 00:59:00,0.153,NA
2025-06-01 01:00:00,0.083,NA
2025-06-01 01:01:00,0.07,NA
2025-06-01 01:02:00,0.078,NA
2025-06-01 01:03:00,0.112,NA
2025-06-01 01:04:00,0.175,NA
2025-06-01 01:05:00,0.264,NA
2025-06-01 01:06:00,0.326,NA
2025-06-01 01:07:00,0.356,NA
2025-06-01 01:08:00,0.365,NA
2025-06-01 01:09:00,0.375,NA
2025-06-01 01:10:00,0.354,NA
2025-06-01 01:11:00,0.343,NA
2025-06-01 01:12:00,0.31,NA
2025-06-01 01:13:00,0.229,NA
2025-06-01 01:14:00,0.154,NA
2025-06-01 01:15:00,0.111,NA
2025-06-01 01:16:00,0.098,NA
2025-06-01 01:17:00,0.108,NA
2025-06-01 01:18:00,0.143,NA
2025-06-01 01:19:00,0.185,NA
2025-06-01 01:20:00,0.225,NA
2025-06-01 01:21:00,0.311,NA
2025-06-01 01:22:00,0.361,NA
2025-06-01 01:23:00,0.409,0.469
2025-06-01 01:24:00,0.438,0.596
2025-06-01 01:25:00,0.448,0.625
2025-06-01 01:26:00,0.415,0.574
2025-06-01 01:27:00,0.367,0.501
2025-06-01 01:28:00,0.323,0.429
2025-06-01 01:29:00,0.281,0.336
2025-06-01 01:30:00,0.191,NA
2025-06-01 01:31:00,0.142,NA
2025-06-01 01:32:00,0.1,NA
2025-06-01 01:33:00,0.112,NA
2025-06-01 01:34:00,0.118,NA
2025-06-01 01:35:00,0.15,NA
2025-06-01 01:36:00,0.168,NA
2025-06-01 01:37:00,0.202,NA
2025-06-01 01:38:00,0.241,NA
2025-06-01 01:39:00,0.269,NA
2025-06-01 01:40:00,0.281,NA
2025-06-01 01:41:00,0.259,NA
2025-06-01 01:42:00,0.247,NA
2025-06-01 01:43:00,0.231,NA
2025-06-01 01:44:00,0.216,NA
2025-06-01 01:45:00,0.202,NA
