"Elements","12-2021"
"Al_Concentration (ng/m3)","1250"
"Al_Concentration Uncertainty (ng/m3)","695"
"Si_Concentration (ng/m3)","13.2"
"Si_Concentration Uncertainty (ng/m3)","24.5"
"P_Concentration (ng/m3)","0.328"
"P_Concentration Uncertainty (ng/m3)","3.63"
"S_Concentration (ng/m3)","254"
"S_Concentration Uncertainty (ng/m3)","22.9"
"Cl_Concentration (ng/m3)","1160"
"Cl_Concentration Uncertainty (ng/m3)","43.1"
"K_Concentration (ng/m3)","81.4"
"K_Concentration Uncertainty (ng/m3)","5.96"
"Ca_Concentration (ng/m3)","89.1"
"Ca_Concentration Uncertainty (ng/m3)","4.73"
"Ti_Concentration (ng/m3)","2.40"
"Ti_Concentration Uncertainty (ng/m3)","1.03"
"V_Concentration (ng/m3)","0.0812"
"V_Concentration Uncertainty (ng/m3)","0.271"
"Cr_Concentration (ng/m3)","94.9"
"Cr_Concentration Uncertainty (ng/m3)","3.50"
"Mn_Concentration (ng/m3)","1.79"
"Mn_Concentration Uncertainty (ng/m3)","0.586"
"Fe_Concentration (ng/m3)","140"
"Fe_Concentration Uncertainty (ng/m3)","5.26"
"Co_Concentration (ng/m3)","0.143"
"Co_Concentration Uncertainty (ng/m3)","0.258"
"Ni_Concentration (ng/m3)","0.0615"
"Ni_Concentration Uncertainty (ng/m3)","0.138"
"Cu_Concentration (ng/m3)","34.3"
"Cu_Concentration Uncertainty (ng/m3)","1.68"
"Zn_Concentration (ng/m3)","12.2"
"Zn_Concentration Uncertainty (ng/m3)","0.845"
"Ga_Concentration (ng/m3)","0"
"Ga_Concentration Uncertainty (ng/m3)","0"
"Ge_Concentration (ng/m3)","0"
"Ge_Concentration Uncertainty (ng/m3)","0"
"As_Concentration (ng/m3)","1.13"
"As_Concentration Uncertainty (ng/m3)","0.329"
"Se_Concentration (ng/m3)","0.140"
"Se_Concentration Uncertainty (ng/m3)","0.132"
"Br_Concentration (ng/m3)","3.18"
"Br_Concentration Uncertainty (ng/m3)","0.733"
"Sr_Concentration (ng/m3)","0.737"
"Sr_Concentration Uncertainty (ng/m3)","1.35"
"Y_Concentration (ng/m3)","3.03"
"Y_Concentration Uncertainty (ng/m3)","0.469"
"Zr_Concentration (ng/m3)","0.379"
"Zr_Concentration Uncertainty (ng/m3)","0.537"
"Mo_Concentration (ng/m3)","0.105"
"Mo_Concentration Uncertainty (ng/m3)","0.195"
"Pd_Concentration (ng/m3)","12.6"
"Pd_Concentration Uncertainty (ng/m3)","8.52"
"Ag_Concentration (ng/m3)","1.77"
"Ag_Concentration Uncertainty (ng/m3)","6.82"
"Cd_Concentration (ng/m3)","8040"
"Cd_Concentration Uncertainty (ng/m3)","263"
"In_Concentration (ng/m3)","0.0878"
"In_Concentration Uncertainty (ng/m3)","0.658"
"Sn_Concentration (ng/m3)","2.15"
"Sn_Concentration Uncertainty (ng/m3)","13.5"
"Sb_Concentration (ng/m3)","113"
"Sb_Concentration Uncertainty (ng/m3)","33.0"
"Te_Concentration (ng/m3)","6.00"
"Te_Concentration Uncertainty (ng/m3)","29.3"
"Ba_Concentration (ng/m3)","3.11"
"Ba_Concentration Uncertainty (ng/m3)","2.07"
"La_Concentration (ng/m3)","0.00470"
"La_Concentration Uncertainty (ng/m3)","0.0467"
"Ce_Concentration (ng/m3)","0.0213"
"Ce_Concentration Uncertainty (ng/m3)","0.193"
"Pt_Concentration (ng/m3)","0.000729"
"Pt_Concentration Uncertainty (ng/m3)","0.00840"
"Hg_Concentration (ng/m3)","0.00275"
"Hg_Concentration Uncertainty (ng/m3)","0.0245"
"Tl_Concentration (ng/m3)","0.454"
"Tl_Concentration Uncertainty (ng/m3)","0.218"
"Pb_Concentration (ng/m3)","378"
"Pb_Concentration Uncertainty (ng/m3)","12.5"
"Bi_Concentration (ng/m3)","0.00307"
"Bi_Concentration Uncertainty (ng/m3)","0.00461"
