"date (UTC+0)","Al_Flags","Al_Concentration (ng/m3)","Al_Concentration Uncertainty (ng/m3)","Si_Flags","Si_Concentration (ng/m3)","Si_Concentration Uncertainty (ng/m3)","P_Flags","P_Concentration (ng/m3)","P_Concentration Uncertainty (ng/m3)","S_Flags","S_Concentration (ng/m3)","S_Concentration Uncertainty (ng/m3)","Cl_Flags","Cl_Concentration (ng/m3)","Cl_Concentration Uncertainty (ng/m3)","K_Flags","K_Concentration (ng/m3)","K_Concentration Uncertainty (ng/m3)","Ca_Flags","Ca_Concentration (ng/m3)","Ca_Concentration Uncertainty (ng/m3)","Ti_Flags","Ti_Concentration (ng/m3)","Ti_Concentration Uncertainty (ng/m3)","V_Flags","V_Concentration (ng/m3)","V_Concentration Uncertainty (ng/m3)","Cr_Flags","Cr_Concentration (ng/m3)","Cr_Concentration Uncertainty (ng/m3)","Mn_Flags","Mn_Concentration (ng/m3)","Mn_Concentration Uncertainty (ng/m3)","Fe_Flags","Fe_Concentration (ng/m3)","Fe_Concentration Uncertainty (ng/m3)","Co_Flags","Co_Concentration (ng/m3)","Co_Concentration Uncertainty (ng/m3)","Ni_Flags","Ni_Concentration (ng/m3)","Ni_Concentration Uncertainty (ng/m3)","Cu_Flags","Cu_Concentration (ng/m3)","Cu_Concentration Uncertainty (ng/m3)","Zn_Flags","Zn_Concentration (ng/m3)","Zn_Concentration Uncertainty (ng/m3)","Ga_Flags","Ga_Concentration (ng/m3)","Ga_Concentration Uncertainty (ng/m3)","Ge_Flags","Ge_Concentration (ng/m3)","Ge_Concentration Uncertainty (ng/m3)","As_Flags","As_Concentration (ng/m3)","As_Concentration Uncertainty (ng/m3)","Se_Flags","Se_Concentration (ng/m3)","Se_Concentration Uncertainty (ng/m3)","Br_Flags","Br_Concentration (ng/m3)","Br_Concentration Uncertainty (ng/m3)","Sr_Flags","Sr_Concentration (ng/m3)","Sr_Concentration Uncertainty (ng/m3)","Y_Flags","Y_Concentration (ng/m3)","Y_Concentration Uncertainty (ng/m3)","Zr_Flags","Zr_Concentration (ng/m3)","Zr_Concentration Uncertainty (ng/m3)","Mo_Flags","Mo_Concentration (ng/m3)","Mo_Concentration Uncertainty (ng/m3)","Pd_Flags","Pd_Concentration (ng/m3)","Pd_Concentration Uncertainty (ng/m3)","Ag_Flags","Ag_Concentration (ng/m3)","Ag_Concentration Uncertainty (ng/m3)","Cd_Flags","Cd_Concentration (ng/m3)","Cd_Concentration Uncertainty (ng/m3)","In_Flags","In_Concentration (ng/m3)","In_Concentration Uncertainty (ng/m3)","Sn_Flags","Sn_Concentration (ng/m3)","Sn_Concentration Uncertainty (ng/m3)","Sb_Flags","Sb_Concentration (ng/m3)","Sb_Concentration Uncertainty (ng/m3)","Te_Flags","Te_Concentration (ng/m3)","Te_Concentration Uncertainty (ng/m3)","Ba_Flags","Ba_Concentration (ng/m3)","Ba_Concentration Uncertainty (ng/m3)","La_Flags","La_Concentration (ng/m3)","La_Concentration Uncertainty (ng/m3)","Ce_Flags","Ce_Concentration (ng/m3)","Ce_Concentration Uncertainty (ng/m3)","Pt_Flags","Pt_Concentration (ng/m3)","Pt_Concentration Uncertainty (ng/m3)","Hg_Flags","Hg_Concentration (ng/m3)","Hg_Concentration Uncertainty (ng/m3)","Tl_Flags","Tl_Concentration (ng/m3)","Tl_Concentration Uncertainty (ng/m3)","Pb_Flags","Pb_Concentration (ng/m3)","Pb_Concentration Uncertainty (ng/m3)","Bi_Flags","Bi_Concentration (ng/m3)","Bi_Concentration Uncertainty (ng/m3)","PM size fraction"
2022-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-01 01:00:00,"E: Erroneous Data",0,0,"E: Uncertainty",20.4909,143.0775,"E: Erroneous Data",0,0,"E: Erroneous Data",412.2718,24.2463,"E: Erroneous Data",0,0,"E: Erroneous Data",111.2899,6.0068,"E: Erroneous Data",58.9998,3.7144,"E: Erroneous Data",5.5824,1.162,"E: Erroneous Data",0,0,"E: Uncertainty",0.2826,0.5816,"E: Uncertainty",0.5969,0.7501,"E: Erroneous Data",212.7418,7.539,"E: Uncertainty",0.051,0.6268,"E: Erroneous Data",0,0,"E: Erroneous Data",5.278,0.6176,"E: Erroneous Data",12.413,0.8064,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",5.2547,0.504,"E: Uncertainty",0.0511,0.4025,"E: Erroneous Data",5.7144,0.6701,"E: Uncertainty",0.378,1.4994,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",5.7714,8.9466,"E: Uncertainty",2.7404,11.8243,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",3.0495,25.8097,"E: Uncertainty",1.5037,31.7679,"E: Erroneous Data",0.2026,0.0064,"E: Uncertainty",0.618,2.7904,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",5.8709,0.8839,"E: Erroneous Data",0,0,"PM10"
2022-12-01 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-01 03:00:00,"E: Erroneous Data",0,0,"E: Uncertainty",4.0835,144.5854,"E: Erroneous Data",0,0,"E: Erroneous Data",363.6739,22.7868,"E: Erroneous Data",0,0,"E: Erroneous Data",86.9181,5.3337,"E: Erroneous Data",94.5283,4.7717,"E: Erroneous Data",1.4851,1.0664,"E: Erroneous Data",0,0,"E: Uncertainty",0.3304,0.5797,"E: Uncertainty",0.1409,0.7443,"E: Erroneous Data",124.6372,4.7582,"E: Erroneous Data",0,0,"E: Uncertainty",0.0465,0.5155,"E: Erroneous Data",3.1306,0.5655,"E: Erroneous Data",9.9676,0.7282,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",1.5522,0.4064,"E: Erroneous Data",0,0,"E: Erroneous Data",3.8212,0.6385,"E: Erroneous Data",2.296,1.5286,"E: Erroneous Data",0.0037,0.0001,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",3.5563,8.9886,"E: Uncertainty",2.2069,12.1637,"E: Uncertainty",2.5334,13.8075,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",2.6832,31.8522,"E: Uncertainty",3.9373,44.221,"E: Uncertainty",2.302,2.8641,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",5.0876,0.8802,"E: Erroneous Data",0,0,"PM10"
2022-12-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-01 05:00:00,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",370.3621,22.6234,"E: Erroneous Data",0,0,"E: Erroneous Data",66.2382,4.594,"E: Erroneous Data",61.6146,3.7481,"E: Uncertainty",1.0143,1.0169,"E: Uncertainty",0.2589,0.7426,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",87.4006,3.5679,"E: Erroneous Data",0,0,"E: Uncertainty",0.1617,0.4808,"E: Erroneous Data",2.8408,0.5326,"E: Erroneous Data",6.4654,0.6099,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",2.5539,0.4258,"E: Erroneous Data",0,0,"E: Erroneous Data",4.2497,0.6287,"E: Uncertainty",0.7903,1.4714,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",17.6149,8.8406,"E: Erroneous Data",0.034,0.0011,"E: Uncertainty",1.9437,13.2773,"E: Erroneous Data",0,0,"E: Uncertainty",3.8743,25.0134,"E: Uncertainty",4.2267,30.7243,"E: Erroneous Data",0,0,"E: Uncertainty",1.1461,2.7352,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",0.2201,0.7383,"E: Erroneous Data",0,0,"PM10"
2022-12-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-01 07:00:00,"E: Uncertainty",188.0853,576.8191,"E: Uncertainty",5.0982,140.5488,"E: Erroneous Data",0,0,"E: Erroneous Data",363.7004,22.6286,"E: Erroneous Data",0,0,"E: Erroneous Data",56.7914,4.3531,"E: Erroneous Data",62.0945,3.7701,"E: Erroneous Data",1.8144,1.0505,"E: Erroneous Data",0,0,"E: Uncertainty",0.1912,0.572,"E: Erroneous Data",0,0,"E: Erroneous Data",165.805,6.0506,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",7.0597,0.6742,"E: Erroneous Data",8.4094,0.6762,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",1.8689,0.3975,"E: Erroneous Data",0,0,"E: Erroneous Data",3.4522,0.6135,"E: Uncertainty",0.0781,1.4687,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",8.0817,8.8,"E: Erroneous Data",0,0,"E: Uncertainty",1.821,13.0859,"E: Erroneous Data",0,0,"E: Uncertainty",8.8376,25.5321,"E: Uncertainty",1.6488,30.9663,"E: Erroneous Data",0,0,"E: Erroneous Data",4.5815,2.8322,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",3.4224,0.7978,"E: Erroneous Data",0,0,"PM10"
2022-12-01 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-01 09:00:00,"E: Erroneous Data",788.2056,620.1862,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",361.8845,23.1048,"E: Erroneous Data",0,0,"E: Erroneous Data",59.0045,4.6002,"E: Erroneous Data",104.2054,5.0868,"E: Erroneous Data",2.4707,1.1379,"E: Uncertainty",0.1061,0.7879,"E: Uncertainty",0.3594,0.6065,"E: Uncertainty",0.3969,0.7724,"E: Erroneous Data",192.4155,6.8987,"E: Uncertainty",0.334,0.6493,"E: Uncertainty",0.3222,0.5123,"E: Erroneous Data",5.25,0.6366,"E: Erroneous Data",9.5904,0.7255,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",2.0869,0.4272,"E: Erroneous Data",0,0,"E: Erroneous Data",3.8518,0.6483,"E: Uncertainty",0.2373,1.5591,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",0.7573,9.1338,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",1.0947,44.4491,"E: Uncertainty",2.3746,2.9818,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",2.1094,0.8178,"E: Erroneous Data",0,0,"PM10"
