"date (UTC+0)","PM size fraction","Al_Flags","Al_Concentration (ng/m3)","Al_Concentration Uncertainty (ng/m3)","Si_Flags","Si_Concentration (ng/m3)","Si_Concentration Uncertainty (ng/m3)","P_Flags","P_Concentration (ng/m3)","P_Concentration Uncertainty (ng/m3)","S_Flags","S_Concentration (ng/m3)","S_Concentration Uncertainty (ng/m3)","Cl_Flags","Cl_Concentration (ng/m3)","Cl_Concentration Uncertainty (ng/m3)","K_Flags","K_Concentration (ng/m3)","K_Concentration Uncertainty (ng/m3)","Ca_Flags","Ca_Concentration (ng/m3)","Ca_Concentration Uncertainty (ng/m3)","Ti_Flags","Ti_Concentration (ng/m3)","Ti_Concentration Uncertainty (ng/m3)","V_Flags","V_Concentration (ng/m3)","V_Concentration Uncertainty (ng/m3)","Cr_Flags","Cr_Concentration (ng/m3)","Cr_Concentration Uncertainty (ng/m3)","Mn_Flags","Mn_Concentration (ng/m3)","Mn_Concentration Uncertainty (ng/m3)","Fe_Flags","Fe_Concentration (ng/m3)","Fe_Concentration Uncertainty (ng/m3)","Co_Flags","Co_Concentration (ng/m3)","Co_Concentration Uncertainty (ng/m3)","Ni_Flags","Ni_Concentration (ng/m3)","Ni_Concentration Uncertainty (ng/m3)","Cu_Flags","Cu_Concentration (ng/m3)","Cu_Concentration Uncertainty (ng/m3)","Zn_Flags","Zn_Concentration (ng/m3)","Zn_Concentration Uncertainty (ng/m3)","Ga_Flags","Ga_Concentration (ng/m3)","Ga_Concentration Uncertainty (ng/m3)","Ge_Flags","Ge_Concentration (ng/m3)","Ge_Concentration Uncertainty (ng/m3)","As_Flags","As_Concentration (ng/m3)","As_Concentration Uncertainty (ng/m3)","Se_Flags","Se_Concentration (ng/m3)","Se_Concentration Uncertainty (ng/m3)","Br_Flags","Br_Concentration (ng/m3)","Br_Concentration Uncertainty (ng/m3)","Sr_Flags","Sr_Concentration (ng/m3)","Sr_Concentration Uncertainty (ng/m3)","Y_Flags","Y_Concentration (ng/m3)","Y_Concentration Uncertainty (ng/m3)","Zr_Flags","Zr_Concentration (ng/m3)","Zr_Concentration Uncertainty (ng/m3)","Mo_Flags","Mo_Concentration (ng/m3)","Mo_Concentration Uncertainty (ng/m3)","Pd_Flags","Pd_Concentration (ng/m3)","Pd_Concentration Uncertainty (ng/m3)","Ag_Flags","Ag_Concentration (ng/m3)","Ag_Concentration Uncertainty (ng/m3)","Cd_Flags","Cd_Concentration (ng/m3)","Cd_Concentration Uncertainty (ng/m3)","In_Flags","In_Concentration (ng/m3)","In_Concentration Uncertainty (ng/m3)","Sn_Flags","Sn_Concentration (ng/m3)","Sn_Concentration Uncertainty (ng/m3)","Sb_Flags","Sb_Concentration (ng/m3)","Sb_Concentration Uncertainty (ng/m3)","Te_Flags","Te_Concentration (ng/m3)","Te_Concentration Uncertainty (ng/m3)","Ba_Flags","Ba_Concentration (ng/m3)","Ba_Concentration Uncertainty (ng/m3)","La_Flags","La_Concentration (ng/m3)","La_Concentration Uncertainty (ng/m3)","Ce_Flags","Ce_Concentration (ng/m3)","Ce_Concentration Uncertainty (ng/m3)","Pt_Flags","Pt_Concentration (ng/m3)","Pt_Concentration Uncertainty (ng/m3)","Hg_Flags","Hg_Concentration (ng/m3)","Hg_Concentration Uncertainty (ng/m3)","Tl_Flags","Tl_Concentration (ng/m3)","Tl_Concentration Uncertainty (ng/m3)","Pb_Flags","Pb_Concentration (ng/m3)","Pb_Concentration Uncertainty (ng/m3)","Bi_Flags","Bi_Concentration (ng/m3)","Bi_Concentration Uncertainty (ng/m3)"
2025-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-01 01:00:00,"PM10",NA,0,0,NA,0,0,NA,0,0,NA,261.8704,23.8561,NA,513.7303,36.8281,NA,217.7063,15.6149,NA,57.7114,4.935,NA,4.9366,1.1915,NA,0,0,NA,2.056,0.7546,NA,3.0933,0.871,NA,627.3820699,40.62073737,NA,0,0,"E: Conc. Uncertainty",0.090841521,0.756246084,NA,8.310818103,1.004360719,NA,25.49848801,1.934501171,NA,0,0,NA,0,0,NA,5.167988596,0.792527538,NA,0,0,NA,11.6423866,1.170355706,"E: Conc. Uncertainty",0.145313852,1.319844321,NA,1.581754315,1.496126998,NA,0,0,NA,0,0,NA,0,0,"E: Conc. Uncertainty",1.7603,11.0295,NA,0,0,NA,0,0,NA,0,0,"E: Conc. Uncertainty",4.9525,29.5777,"E: Conc. Uncertainty",1.2041,41.1204,NA,5.3178,2.6975,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,13.34041643,1.361167794,NA,0,0
2025-03-01 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-01 03:00:00,"PM10",NA,0,0,NA,0,0,"E: Conc. Uncertainty",3.6936,27.028,NA,257.302,23.6226,NA,428.7714,31.4835,NA,159.485,11.9329,NA,48.908,4.41,NA,3.0695,1.1057,NA,0,0,NA,1.9753,0.7442,"E: Conc. Uncertainty",0.7227,0.7985,NA,301.404003,19.59074148,NA,0,0,"E: Conc. Uncertainty",0.057258507,0.765849697,NA,4.905538718,0.866906423,NA,18.41185444,1.527570085,NA,0,0,NA,0,0,NA,3.882696337,0.749420115,"E: Conc. Uncertainty",0.105343449,0.682290232,NA,8.504688485,1.041733985,"E: Conc. Uncertainty",0.094329069,1.33763183,NA,0,0,"E: Conc. Uncertainty",0.753422289,1.576533679,NA,0,0,NA,0,0,"E: Conc. Uncertainty",0.398,11.3571,"E: Conc. Uncertainty",2.1573,13.0928,NA,0,0,NA,0,0,"E: Conc. Uncertainty",10.6856,30.3949,"E: Conc. Uncertainty",2.5419,42.3982,NA,5.6092,2.6869,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,9.226827085,1.186069963,NA,0,0
2025-03-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-01 05:00:00,"PM10",NA,0,0,NA,0,0,NA,0,0,NA,226.7338,21.6901,NA,199.8438,17.3553,NA,106.6817,8.6225,NA,43.5822,4.0905,NA,1.4892,1.0631,NA,0,0,NA,1.2233,0.7112,"E: Conc. Uncertainty",0.0572,0.7809,NA,212.5826756,13.87412203,NA,0,0,NA,0,0,NA,6.084972246,0.911696643,NA,12.43125732,1.200158728,NA,0,0,NA,0,0,NA,3.136945562,0.719756919,NA,0,0,NA,3.776024851,0.877572374,"E: Conc. Uncertainty",0.356439375,1.334927788,"E: Conc. Uncertainty",0.245974436,1.50529043,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"E: Conc. Uncertainty",9.8612,29.9264,NA,0,0,"E: Conc. Uncertainty",2.3302,2.6251,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1.198136172,0.931270728,NA,0,0
2025-03-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-01 07:00:00,"PM10",NA,0,0,NA,0,0,NA,0,0,NA,266.615,23.879,NA,155.191,14.7605,NA,76.657,6.8242,NA,50.732,4.5175,NA,2.3593,1.1462,NA,0,0,NA,2.5735,0.7729,NA,2.3798,0.8593,NA,589.0462231,38.14593377,NA,0,0,NA,0,0,NA,41.30191061,2.901367604,NA,11.57839395,1.155615612,NA,0,0,NA,0,0,NA,3.400107898,0.722457386,NA,0,0,NA,3.03319388,0.863157329,"E: Conc. Uncertainty",0.285837888,1.335652384,"E: Conc. Uncertainty",0.039871337,1.509184889,"E: Conc. Uncertainty",0.655693651,1.577944023,NA,0,0,NA,0,0,"E: Conc. Uncertainty",4.3461,11.3026,NA,0,0,NA,0,0,"E: Conc. Uncertainty",0.7597,24.8188,"E: Conc. Uncertainty",8.4961,29.8606,NA,0,0,NA,7.8476,2.8744,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"E: Conc. Uncertainty",0.199142924,0.897645489,NA,0,0
2025-03-01 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-01 09:00:00,"PM10",NA,0,0,NA,0,0,NA,0,0,NA,274.7761,24.4459,NA,376.1753,28.1027,NA,99.647,8.1712,NA,88.1444,6.7518,NA,4.1595,1.1327,"E: Conc. Uncertainty",0.1369,0.7653,NA,1.7186,0.7136,"E: Conc. Uncertainty",0.132,0.779,NA,207.8631591,13.57062639,"E: Conc. Uncertainty",0.189169646,0.832356847,NA,0,0,NA,8.136352063,1.000767367,NA,9.37504965,1.048329826,NA,0,0,NA,0.008656951,0.000559429,NA,1.237536537,0.657983204,"E: Conc. Uncertainty",0.230264699,0.683376549,NA,3.479442289,0.863595816,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2.8135,2.6076,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1.825659201,0.938347478,NA,0,0
