"date..UTC.0.","Al_Flags","Al_Concentration..ng.m3.","Al_Concentration.Uncertainty..ng.m3.","Si_Flags","Si_Concentration..ng.m3.","Si_Concentration.Uncertainty..ng.m3.","P_Flags","P_Concentration..ng.m3.","P_Concentration.Uncertainty..ng.m3.","S_Flags","S_Concentration..ng.m3.","S_Concentration.Uncertainty..ng.m3.","Cl_Flags","Cl_Concentration..ng.m3.","Cl_Concentration.Uncertainty..ng.m3.","K_Flags","K_Concentration..ng.m3.","K_Concentration.Uncertainty..ng.m3.","Ca_Flags","Ca_Concentration..ng.m3.","Ca_Concentration.Uncertainty..ng.m3.","Ti_Flags","Ti_Concentration..ng.m3.","Ti_Concentration.Uncertainty..ng.m3.","V_Flags","V_Concentration..ng.m3.","V_Concentration.Uncertainty..ng.m3.","Cr_Flags","Cr_Concentration..ng.m3.","Cr_Concentration.Uncertainty..ng.m3.","Mn_Flags","Mn_Concentration..ng.m3.","Mn_Concentration.Uncertainty..ng.m3.","Fe_Flags","Fe_Concentration..ng.m3.","Fe_Concentration.Uncertainty..ng.m3.","Co_Flags","Co_Concentration..ng.m3.","Co_Concentration.Uncertainty..ng.m3.","Ni_Flags","Ni_Concentration..ng.m3.","Ni_Concentration.Uncertainty..ng.m3.","Cu_Flags","Cu_Concentration..ng.m3.","Cu_Concentration.Uncertainty..ng.m3.","Zn_Flags","Zn_Concentration..ng.m3.","Zn_Concentration.Uncertainty..ng.m3.","Ga_Flags","Ga_Concentration..ng.m3.","Ga_Concentration.Uncertainty..ng.m3.","Ge_Flags","Ge_Concentration..ng.m3.","Ge_Concentration.Uncertainty..ng.m3.","As_Flags","As_Concentration..ng.m3.","As_Concentration.Uncertainty..ng.m3.","Se_Flags","Se_Concentration..ng.m3.","Se_Concentration.Uncertainty..ng.m3.","Br_Flags","Br_Concentration..ng.m3.","Br_Concentration.Uncertainty..ng.m3.","Sr_Flags","Sr_Concentration..ng.m3.","Sr_Concentration.Uncertainty..ng.m3.","Y_Flags","Y_Concentration..ng.m3.","Y_Concentration.Uncertainty..ng.m3.","Zr_Flags","Zr_Concentration..ng.m3.","Zr_Concentration.Uncertainty..ng.m3.","Mo_Flags","Mo_Concentration..ng.m3.","Mo_Concentration.Uncertainty..ng.m3.","Pd_Flags","Pd_Concentration..ng.m3.","Pd_Concentration.Uncertainty..ng.m3.","Ag_Flags","Ag_Concentration..ng.m3.","Ag_Concentration.Uncertainty..ng.m3.","Cd_Flags","Cd_Concentration..ng.m3.","Cd_Concentration.Uncertainty..ng.m3.","In_Flags","In_Concentration..ng.m3.","In_Concentration.Uncertainty..ng.m3.","Sn_Flags","Sn_Concentration..ng.m3.","Sn_Concentration.Uncertainty..ng.m3.","Sb_Flags","Sb_Concentration..ng.m3.","Sb_Concentration.Uncertainty..ng.m3.","Te_Flags","Te_Concentration..ng.m3.","Te_Concentration.Uncertainty..ng.m3.","Ba_Flags","Ba_Concentration..ng.m3.","Ba_Concentration.Uncertainty..ng.m3.","La_Flags","La_Concentration..ng.m3.","La_Concentration.Uncertainty..ng.m3.","Ce_Flags","Ce_Concentration..ng.m3.","Ce_Concentration.Uncertainty..ng.m3.","Pt_Flags","Pt_Concentration..ng.m3.","Pt_Concentration.Uncertainty..ng.m3.","Hg_Flags","Hg_Concentration..ng.m3.","Hg_Concentration.Uncertainty..ng.m3.","Tl_Flags","Tl_Concentration..ng.m3.","Tl_Concentration.Uncertainty..ng.m3.","Pb_Flags","Pb_Concentration..ng.m3.","Pb_Concentration.Uncertainty..ng.m3.","Bi_Flags","Bi_Concentration..ng.m3.","Bi_Concentration.Uncertainty..ng.m3.","PM.size.fraction"
"2021-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 01:00:00","E: Uncertainty",123.5422,571.6586,NA,0,0,NA,0,0,NA,279.4852,20.0712,NA,0,0,NA,39.2926,3.8219,NA,5.1173,2.1895,"E: Uncertainty",0.5867,0.9626,NA,0,0,"E: Uncertainty",0.0172,0.5474,NA,0,0,NA,29.2832,1.7251,NA,0,0,NA,0,0,NA,1.3888,0.4886,NA,5.016,0.5666,NA,0,0,NA,0,0,NA,0.8349,0.3711,NA,0,0,NA,1.0024,0.5702,"E: Uncertainty",0.1895,1.4764,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",5.6807,11.5666,"E: Uncertainty",1.6871,13.4225,NA,0,0,NA,0,0,"E: Uncertainty",9.0754,31.2326,NA,0,0,"E: Uncertainty",0.0652,2.5775,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",0.3779,0.7292,NA,0,0,"PM2.5"
"2021-08-01 02:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 03:00:00",NA,725.6078,594.3938,NA,0,0,NA,0,0,NA,257.1946,19.511,NA,0,0,NA,20.1838,3.2915,NA,4.4546,2.1812,NA,0,0,NA,0,0,"E: Uncertainty",0.0347,0.558,NA,0,0,NA,20.0444,1.4515,NA,0,0,NA,0,0,"E: Uncertainty",0.471,0.4715,NA,2.2033,0.4834,NA,0,0,NA,0,0,NA,0.4318,0.3684,NA,0,0,"E: Uncertainty",0.136,0.5716,"E: Uncertainty",0.9819,1.5186,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",8.9186,9.0008,"E: Uncertainty",6.1777,12.1465,"E: Uncertainty",4.6129,13.4842,NA,0,0,NA,0,0,"E: Uncertainty",0.9871,32.1189,NA,0,0,NA,0,0,NA,0.0323,0.001,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"PM2.5"
"2021-08-01 04:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 05:00:00","E: Uncertainty",327.2533,589.834,NA,0,0,NA,0,0,NA,414.6707,24.0684,NA,0,0,NA,18.766,3.3033,NA,5.8977,2.2003,NA,0,0,"E: Uncertainty",0.3271,0.7328,NA,0,0,NA,0,0,NA,10.6238,1.1587,NA,0,0,NA,0,0,"E: Uncertainty",0.3371,0.464,NA,1.93,0.4708,NA,0,0,NA,0,0,"E: Uncertainty",0.2965,0.3683,"E: Uncertainty",0.2437,0.42,"E: Uncertainty",0.5504,0.578,"E: Uncertainty",1.1178,1.516,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",3.3088,8.7872,"E: Uncertainty",9.5684,11.9202,NA,0,0,NA,0,0,"E: Uncertainty",0.4018,25.8492,"E: Uncertainty",0.7505,31.9579,"E: Uncertainty",3.5571,44.0918,"E: Uncertainty",0.2023,2.7017,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"PM2.5"
"2021-08-01 06:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 07:00:00","E: Uncertainty",361.4185,585.6749,NA,0,0,NA,0,0,NA,353.7105,22.0559,NA,0,0,NA,13.3955,3.0619,NA,10.5895,2.3184,"E: Uncertainty",0.3054,0.9705,"E: Uncertainty",0.0599,0.7233,NA,0,0,NA,0,0,NA,15.8438,1.2976,NA,0,0,"E: Uncertainty",0.0188,0.4772,"E: Uncertainty",0.1585,0.4644,NA,1.6313,0.4589,NA,0,0,NA,0,0,"E: Uncertainty",0.0743,0.3506,NA,0.6751,0.4142,NA,0.6435,0.5699,"E: Uncertainty",0.6306,1.4952,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",8.3585,8.9518,"E: Uncertainty",2.9782,11.7424,"E: Uncertainty",2.663,13.4422,NA,0,0,"E: Uncertainty",2.8144,25.6363,"E: Uncertainty",10.0064,31.3594,"E: Uncertainty",7.7515,43.502,"E: Uncertainty",0.7348,2.6588,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"PM2.5"
"2021-08-01 08:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-08-01 09:00:00",NA,707.7054,591.5004,NA,0,0,NA,0,0,NA,647.8378,31.1451,NA,0,0,NA,24.1997,3.5173,NA,32.7661,2.9658,NA,9.3537,1.2543,"E: Uncertainty",0.2705,0.7627,"E: Uncertainty",0.0326,0.5573,NA,0,0,NA,39.263,2.0526,NA,0,0,"E: Uncertainty",0.0998,0.4914,NA,1.8199,0.5194,NA,14.7142,0.8762,NA,0,0,NA,0,0,NA,1.1903,0.3898,NA,0,0,NA,1.2323,0.5888,NA,1.5736,1.5205,NA,0,0,NA,0,0,NA,0,0,NA,11.8203,8.9142,"E: Uncertainty",3.1821,11.6347,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",0.5303,31.7231,"E: Uncertainty",22.9164,43.8378,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,7.5028,0.9313,NA,0,0,"PM2.5"
