"date (UTC+0)","Al_Flags","Al_Concentration (ng/m3)","Al_Concentration Uncertainty (ng/m3)","Si_Flags","Si_Concentration (ng/m3)","Si_Concentration Uncertainty (ng/m3)","P_Flags","P_Concentration (ng/m3)","P_Concentration Uncertainty (ng/m3)","S_Flags","S_Concentration (ng/m3)","S_Concentration Uncertainty (ng/m3)","Cl_Flags","Cl_Concentration (ng/m3)","Cl_Concentration Uncertainty (ng/m3)","K_Flags","K_Concentration (ng/m3)","K_Concentration Uncertainty (ng/m3)","Ca_Flags","Ca_Concentration (ng/m3)","Ca_Concentration Uncertainty (ng/m3)","Ti_Flags","Ti_Concentration (ng/m3)","Ti_Concentration Uncertainty (ng/m3)","V_Flags","V_Concentration (ng/m3)","V_Concentration Uncertainty (ng/m3)","Cr_Flags","Cr_Concentration (ng/m3)","Cr_Concentration Uncertainty (ng/m3)","Mn_Flags","Mn_Concentration (ng/m3)","Mn_Concentration Uncertainty (ng/m3)","Fe_Flags","Fe_Concentration (ng/m3)","Fe_Concentration Uncertainty (ng/m3)","Co_Flags","Co_Concentration (ng/m3)","Co_Concentration Uncertainty (ng/m3)","Ni_Flags","Ni_Concentration (ng/m3)","Ni_Concentration Uncertainty (ng/m3)","Cu_Flags","Cu_Concentration (ng/m3)","Cu_Concentration Uncertainty (ng/m3)","Zn_Flags","Zn_Concentration (ng/m3)","Zn_Concentration Uncertainty (ng/m3)","Ga_Flags","Ga_Concentration (ng/m3)","Ga_Concentration Uncertainty (ng/m3)","Ge_Flags","Ge_Concentration (ng/m3)","Ge_Concentration Uncertainty (ng/m3)","As_Flags","As_Concentration (ng/m3)","As_Concentration Uncertainty (ng/m3)","Se_Flags","Se_Concentration (ng/m3)","Se_Concentration Uncertainty (ng/m3)","Br_Flags","Br_Concentration (ng/m3)","Br_Concentration Uncertainty (ng/m3)","Sr_Flags","Sr_Concentration (ng/m3)","Sr_Concentration Uncertainty (ng/m3)","Y_Flags","Y_Concentration (ng/m3)","Y_Concentration Uncertainty (ng/m3)","Zr_Flags","Zr_Concentration (ng/m3)","Zr_Concentration Uncertainty (ng/m3)","Mo_Flags","Mo_Concentration (ng/m3)","Mo_Concentration Uncertainty (ng/m3)","Pd_Flags","Pd_Concentration (ng/m3)","Pd_Concentration Uncertainty (ng/m3)","Ag_Flags","Ag_Concentration (ng/m3)","Ag_Concentration Uncertainty (ng/m3)","Cd_Flags","Cd_Concentration (ng/m3)","Cd_Concentration Uncertainty (ng/m3)","In_Flags","In_Concentration (ng/m3)","In_Concentration Uncertainty (ng/m3)","Sn_Flags","Sn_Concentration (ng/m3)","Sn_Concentration Uncertainty (ng/m3)","Sb_Flags","Sb_Concentration (ng/m3)","Sb_Concentration Uncertainty (ng/m3)","Te_Flags","Te_Concentration (ng/m3)","Te_Concentration Uncertainty (ng/m3)","Ba_Flags","Ba_Concentration (ng/m3)","Ba_Concentration Uncertainty (ng/m3)","La_Flags","La_Concentration (ng/m3)","La_Concentration Uncertainty (ng/m3)","Ce_Flags","Ce_Concentration (ng/m3)","Ce_Concentration Uncertainty (ng/m3)","Pt_Flags","Pt_Concentration (ng/m3)","Pt_Concentration Uncertainty (ng/m3)","Hg_Flags","Hg_Concentration (ng/m3)","Hg_Concentration Uncertainty (ng/m3)","Tl_Flags","Tl_Concentration (ng/m3)","Tl_Concentration Uncertainty (ng/m3)","Pb_Flags","Pb_Concentration (ng/m3)","Pb_Concentration Uncertainty (ng/m3)","Bi_Flags","Bi_Concentration (ng/m3)","Bi_Concentration Uncertainty (ng/m3)","PM size fraction"
2022-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-01 01:00:00,"E: Uncertainty",31.0378,578.3943,NA,0,0,NA,0,0,NA,140.5718,16.8428,NA,960.8502,36.0482,NA,50.3244,4.3985,NA,45.1272,3.3389,NA,5.6064,1.1199,"E: Uncertainty",0.0349,0.705,"E: Uncertainty",0.0438,0.5597,NA,0,0,NA,23.9628,1.5688,NA,0,0,NA,0,0,NA,0.6378,0.4729,NA,4.8935,0.5615,NA,0,0,NA,0,0,NA,0.4241,0.3645,NA,0,0,NA,1.61,0.5951,"E: Uncertainty",1.2443,1.5011,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",5.6538,8.7408,NA,0,0,"E: Uncertainty",1.0331,13.4968,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1.1553,0.7565,NA,0,0,"PM2.5"
2022-03-01 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-01 03:00:00,NA,0,0,NA,0,0,NA,0,0,NA,191.258,17.9224,NA,853.3,32.6839,NA,62.3361,4.623,NA,57.8591,3.6304,NA,1.5811,0.9796,NA,0,0,"E: Uncertainty",0.1168,0.5399,"E: Uncertainty",0.0814,0.667,NA,27.2731,1.6488,NA,0,0,NA,0,0,"E: Uncertainty",0.3691,0.4379,NA,5.0126,0.5489,NA,0,0,NA,0,0,NA,1.0183,0.3723,"E: Uncertainty",0.0916,0.3752,NA,3.4365,0.5918,"E: Uncertainty",0.2846,1.4129,NA,0,0,NA,0,0,NA,0,0,NA,22.339,8.6356,NA,0,0,"E: Uncertainty",0.9511,12.6803,NA,0,0,NA,0,0,NA,0.1942,0.0061,"E: Uncertainty",5.4258,40.8733,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.8775,0.7293,NA,0,0,"PM2.5"
2022-03-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-01 05:00:00,"E: Uncertainty",358.8901,585.4483,NA,0,0,NA,0,0,NA,172.8468,17.6941,NA,1056.39,39.0426,NA,52.136,4.4548,NA,78.4914,4.2913,NA,0,0,NA,0,0,NA,0,0,NA,0.9328,0.729,NA,44.5542,2.2176,NA,0,0,NA,0,0,NA,1.2651,0.494,NA,7.2758,0.64,NA,0,0,NA,0,0,NA,1.0541,0.3825,"E: Uncertainty",0.0427,0.3946,NA,2.7755,0.6009,"E: Uncertainty",0.5464,1.484,NA,0,0,NA,0,0,NA,0,0,NA,10.4957,8.8796,"E: Uncertainty",3.303,11.6784,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",4.3576,31.3023,"E: Uncertainty",15.9594,42.7957,"E: Uncertainty",1.0815,2.6911,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,"E: Uncertainty",0.6475,0.7387,NA,0,0,"PM2.5"
2022-03-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-01 07:00:00,"E: Erroneous Data",630.9965,588.4785,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",187.9593,18.2139,"E: Erroneous Data",1264.1097,45.5403,"E: Erroneous Data",61.5453,4.6841,"E: Erroneous Data",76.4766,4.2111,"E: Erroneous Data",1.8803,1.0356,"E: Uncertainty",0.0758,0.7261,"E: Erroneous Data",2.8706,0.6477,"E: Erroneous Data",3.0018,0.7936,"E: Erroneous Data",134.9525,5.0819,"E: Erroneous Data",0,0,"E: Uncertainty",0.0765,0.4915,"E: Erroneous Data",4.5727,0.5981,"E: Erroneous Data",14.9503,0.8836,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0.9271,0.3754,"E: Uncertainty",0.3771,0.4153,"E: Erroneous Data",3.0636,0.607,"E: Uncertainty",0.511,1.4887,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",5.2494,8.7568,"E: Uncertainty",7.9372,11.5303,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",3.5464,43.0951,"E: Uncertainty",1.0257,2.7467,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",1.6501,0.7608,"E: Erroneous Data",0,0,"PM2.5"
2022-03-01 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-01 09:00:00,"E: Uncertainty",323.5564,585.0244,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",226.4115,19.4305,"E: Erroneous Data",1442.7794,51.2096,"E: Erroneous Data",86.8105,5.5145,"E: Erroneous Data",116.2717,5.4406,"E: Erroneous Data",3.8354,1.0945,"E: Erroneous Data",0,0,"E: Erroneous Data",11.936,0.8867,"E: Erroneous Data",5.0774,0.849,"E: Erroneous Data",223.1864,7.8636,"E: Erroneous Data",0,0,"E: Erroneous Data",1.3638,0.5279,"E: Erroneous Data",5.6855,0.6318,"E: Erroneous Data",20.6823,1.0646,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",1.3235,0.3945,"E: Erroneous Data",1.303,0.4278,"E: Erroneous Data",3.168,0.6059,"E: Uncertainty",0.8453,1.4573,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",12.0514,8.7865,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Uncertainty",6.872,24.8529,"E: Uncertainty",1.0365,30.1785,"E: Erroneous Data",0,0,"E: Uncertainty",1.8728,2.7681,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",0,0,"E: Erroneous Data",3.2891,0.82,"E: Erroneous Data",0,0,"PM2.5"
