"","datetime","Org","NH4","SO4","NO3","Chl","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl"
"2161","2026-04-01 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2162","2026-04-01 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2163","2026-04-01 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2164","2026-04-01 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2165","2026-04-01 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2166","2026-04-01 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2167","2026-04-01 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2168","2026-04-01 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2169","2026-04-01 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2170","2026-04-01 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2171","2026-04-01 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2172","2026-04-01 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2173","2026-04-01 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2174","2026-04-01 13:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2175","2026-04-01 14:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2176","2026-04-01 15:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2177","2026-04-01 16:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2178","2026-04-01 17:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2179","2026-04-01 18:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2180","2026-04-01 19:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2181","2026-04-01 20:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2182","2026-04-01 21:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2183","2026-04-01 22:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2184","2026-04-01 23:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2185","2026-04-02 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2186","2026-04-02 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2187","2026-04-02 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2188","2026-04-02 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2189","2026-04-02 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2190","2026-04-02 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2191","2026-04-02 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2192","2026-04-02 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2193","2026-04-02 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2194","2026-04-02 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2195","2026-04-02 10:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2196","2026-04-02 11:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2197","2026-04-02 12:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2198","2026-04-02 13:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2199","2026-04-02 14:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2200","2026-04-02 15:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2201","2026-04-02 16:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2202","2026-04-02 17:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2203","2026-04-02 18:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2204","2026-04-02 19:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2205","2026-04-02 20:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2206","2026-04-02 21:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2207","2026-04-02 22:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2208","2026-04-02 23:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2209","2026-04-03 00:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2210","2026-04-03 01:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2211","2026-04-03 02:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2212","2026-04-03 03:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2213","2026-04-03 04:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2214","2026-04-03 05:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2215","2026-04-03 06:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2216","2026-04-03 07:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2217","2026-04-03 08:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
"2218","2026-04-03 09:00:00",NA,NA,NA,NA,NA,"2a","2a","2a","2a","2a"
