"datetime","pbl","pbs","cbh","ttc","sci"
2024-01-01,-1,0,872,8,0
2024-01-01 00:00:15,-1,0,1008,8,0
2024-01-01 00:00:30,-1,0,948,8,0
2024-01-01 00:00:45,-1,0,859,8,0
2024-01-01 00:01:00,-1,0,840,8,0
2024-01-01 00:01:15,-1,0,861,8,0
2024-01-01 00:01:30,-1,0,815,8,0
2024-01-01 00:01:45,-1,0,842,8,0
2024-01-01 00:02:00,-1,0,813,8,0
2024-01-01 00:02:15,-1,0,875,8,0
2024-01-01 00:02:30,-1,0,860,8,0
2024-01-01 00:02:45,-1,0,893,8,0
2024-01-01 00:03:00,-1,0,890,8,0
2024-01-01 00:03:15,-1,0,876,8,0
2024-01-01 00:03:30,-1,0,882,8,0
2024-01-01 00:03:45,-1,0,847,8,0
2024-01-01 00:04:00,-1,0,888,8,0
2024-01-01 00:04:15,-1,0,872,8,0
2024-01-01 00:04:30,-1,0,902,8,0
2024-01-01 00:04:45,-1,0,898,8,0
2024-01-01 00:05:00,-1,0,888,8,0
2024-01-01 00:05:15,-1,0,859,8,0
2024-01-01 00:05:30,-1,0,872,8,0
2024-01-01 00:05:45,-1,0,860,8,0
2024-01-01 00:06:00,-1,0,937,8,0
2024-01-01 00:06:15,-1,0,956,8,0
2024-01-01 00:06:30,-1,0,945,8,0
2024-01-01 00:06:45,-1,0,964,8,0
2024-01-01 00:07:00,-1,0,992,8,0
2024-01-01 00:07:15,-1,0,946,8,0
2024-01-01 00:07:30,-1,0,935,8,0
2024-01-01 00:07:45,-1,0,938,8,0
2024-01-01 00:08:00,-1,0,919,8,0
2024-01-01 00:08:15,-1,0,930,8,0
2024-01-01 00:08:30,-1,0,905,8,0
2024-01-01 00:08:45,-1,0,891,8,0
2024-01-01 00:09:00,-1,0,894,8,0
2024-01-01 00:09:15,-1,0,853,8,0
2024-01-01 00:09:30,-1,0,833,8,0
2024-01-01 00:09:45,-1,0,882,8,0
2024-01-01 00:10:00,-1,0,865,8,0
2024-01-01 00:10:15,-1,0,904,8,0
2024-01-01 00:10:30,-1,0,870,8,0
2024-01-01 00:10:45,-1,0,841,8,0
2024-01-01 00:11:00,-1,0,905,8,0
2024-01-01 00:11:15,-1,0,828,8,0
2024-01-01 00:11:30,-1,0,843,8,0
2024-01-01 00:11:45,-1,0,819,8,0
2024-01-01 00:12:00,-1,0,822,8,0
2024-01-01 00:12:15,-1,0,826,8,0
2024-01-01 00:12:30,-1,0,812,8,0
2024-01-01 00:12:45,-1,0,863,8,0
2024-01-01 00:13:00,-1,0,868,8,0
2024-01-01 00:13:15,-1,0,879,8,0
2024-01-01 00:13:30,-1,0,843,8,0
2024-01-01 00:13:45,-1,0,880,8,0
2024-01-01 00:14:00,-1,0,857,8,0
2024-01-01 00:14:15,-1,0,823,8,0
2024-01-01 00:14:30,-1,0,870,8,0
2024-01-01 00:14:45,-1,0,900,8,0
2024-01-01 00:15:00,-1,0,901,8,0
2024-01-01 00:15:15,-1,0,860,8,0
2024-01-01 00:15:30,-1,0,865,8,0
2024-01-01 00:15:45,-1,0,843,8,0
2024-01-01 00:16:00,-1,0,830,8,0
2024-01-01 00:16:15,-1,0,878,8,0
2024-01-01 00:16:30,-1,0,921,8,0
2024-01-01 00:16:45,-1,0,967,8,0
2024-01-01 00:17:00,-1,0,930,8,0
2024-01-01 00:17:15,-1,0,875,8,0
2024-01-01 00:17:30,-1,0,882,8,0
2024-01-01 00:17:45,-1,0,906,8,0
2024-01-01 00:18:00,-1,0,892,8,0
2024-01-01 00:18:15,-1,0,865,8,0
2024-01-01 00:18:30,-1,0,877,8,0
2024-01-01 00:18:45,-1,0,987,8,0
2024-01-01 00:19:00,-1,0,841,8,0
2024-01-01 00:19:15,-1,0,889,8,0
2024-01-01 00:19:30,-1,0,874,8,0
2024-01-01 00:19:45,-1,0,925,8,0
