"","datetime","TCconc","AE33_BC6","OC","EC","CO2","qc_flag_TCconc","qc_flag_AE33_BC6","qc_flag_OC","qc_flag_EC","qc_flag_CO2"
"1","2025-04-01 00:00:00",3748,512,3492,256,451.58,"1b","1b","1b","1b","1b"
"2","2025-04-01 01:00:00",3532,493,3286,246,455.38,"1b","1b","1b","1b","1b"
"3","2025-04-01 02:00:00",3750,483,3508,242,461.36,"1b","1b","1b","1b","1b"
"4","2025-04-01 03:00:00",2804,377,2615,188,466.68,"1b","1b","1b","1b","1b"
"5","2025-04-01 04:00:00",2822,401,2622,200,465.93,"1b","1b","1b","1b","1b"
"6","2025-04-01 05:00:00",2463,362,2282,181,459.3,"1b","1b","1b","1b","1b"
"7","2025-04-01 06:00:00",2261,309,2107,154,424.73,"1b","1b","1b","1b","1b"
"8","2025-04-01 07:00:00",1762,347,1588,174,447.91,"1b","1b","1b","1b","1b"
"9","2025-04-01 08:00:00",1954,345,1781,172,462,"1b","1b","1b","1b","1b"
"10","2025-04-01 09:00:00",2104,299,1955,150,447.73,"1b","1b","1b","1b","1b"
"11","2025-04-01 10:00:00",2003,224,1891,112,464.31,"1b","1b","1b","1b","1b"
"12","2025-04-01 11:00:00",2120,215,2012,108,450.41,"1b","1b","1b","1b","1b"
"13","2025-04-01 12:00:00",2528,278,2389,139,448.32,"1b","1b","1b","1b","1b"
"14","2025-04-01 13:00:00",2398,225,2286,112,440.97,"1b","1b","1b","1b","1b"
"15","2025-04-01 14:00:00",2597,243,2476,122,443.32,"1b","1b","1b","1b","1b"
"16","2025-04-01 15:00:00",2513,207,2410,104,437.27,"1b","1b","1b","1b","1b"
"17","2025-04-01 16:00:00",2506,247,2383,124,438.78,"1b","1b","1b","1b","1b"
"18","2025-04-01 17:00:00",2511,229,2396,114,431.9,"1b","1b","1b","1b","1b"
"19","2025-04-01 18:00:00",3002,330,2837,165,436.71,"1b","1b","1b","1b","1b"
"20","2025-04-01 19:00:00",3074,376,2886,188,435.08,"1b","1b","1b","1b","1b"
"21","2025-04-01 20:00:00",2808,348,2634,174,442.34,"1b","1b","1b","1b","1b"
"22","2025-04-01 21:00:00",2567,338,2398,169,440.6,"1b","1b","1b","1b","1b"
"23","2025-04-01 22:00:00",2393,266,2260,133,447.39,"1b","1b","1b","1b","1b"
"24","2025-04-01 23:00:00",2552,300,2402,150,444.35,"1b","1b","1b","1b","1b"
"25","2025-04-02 00:00:00",2316,350,2141,175,450.61,"1b","1b","1b","1b","1b"
"26","2025-04-02 01:00:00",1968,340,1798,170,450.15,"1b","1b","1b","1b","1b"
"27","2025-04-02 02:00:00",1888,310,1733,155,455.65,"1b","1b","1b","1b","1b"
"28","2025-04-02 03:00:00",1956,312,1800,156,454.02,"1b","1b","1b","1b","1b"
"29","2025-04-02 04:00:00",2278,450,2053,225,459.08,"1b","1b","1b","1b","1b"
"30","2025-04-02 05:00:00",2220,473,1984,236,457.4,"1b","1b","1b","1b","1b"
"31","2025-04-02 06:00:00",3049,768,2665,384,467.98,"1b","1b","1b","1b","1b"
"32","2025-04-02 07:00:00",2840,688,2496,344,469.86,"1b","1b","1b","1b","1b"
"33","2025-04-02 08:00:00",2840,541,2570,270,465.9,"1b","1b","1b","1b","1b"
"34","2025-04-02 09:00:00",2683,355,2505,178,452.4,"1b","1b","1b","1b","1b"
"35","2025-04-02 10:00:00",2557,211,2451,106,424.05,"1b","1b","1b","1b","1b"
"36","2025-04-02 11:00:00",2471,243,2350,122,429.94,"1b","1b","1b","1b","1b"
"37","2025-04-02 12:00:00",2622,243,2501,122,455.37,"1b","1b","1b","1b","1b"
"38","2025-04-02 13:00:00",2839,219,2729,110,446.01,"1b","1b","1b","1b","1b"
