"datetime","TCconc","AE33_BC6","OC","EC","CO2","qc_flag_TCconc","qc_flag_AE33_BC6","qc_flag_OC","qc_flag_EC","qc_flag_CO2"
2026-03-01,1845,304,1693,152,410.67,"1b","1b","1b","1b","1b"
2026-03-01 01:00:00,1387,229,1273,114,404.19,"1b","1b","1b","1b","1b"
2026-03-01 02:00:00,737,125,675,62,406.36,"1b","1b","1b","1b","1b"
2026-03-01 03:00:00,791,99,742,50,400.78,"1b","1b","1b","1b","1b"
2026-03-01 04:00:00,513,57,484,28,403.62,"1b","1b","1b","1b","1b"
2026-03-01 05:00:00,427,39,407,20,399.76,"1b","1b","1b","1b","1b"
2026-03-01 06:00:00,334,79,295,40,406.5,"1b","1b","1b","1b","1b"
2026-03-01 07:00:00,686,73,649,36,398.16,"1b","1b","1b","1b","1b"
2026-03-01 08:00:00,471,76,433,38,404.07,"1b","1b","1b","1b","1b"
2026-03-01 09:00:00,708,83,667,42,399.14,"1b","1b","1b","1b","1b"
2026-03-01 10:00:00,3012,103,2960,52,401.79,"1b","1b","1b","1b","1b"
2026-03-01 11:00:00,1324,101,1274,50,394.99,"1b","1b","1b","1b","1b"
2026-03-01 12:00:00,596,107,543,54,396.88,"1b","1b","1b","1b","1b"
2026-03-01 13:00:00,578,123,516,62,394.06,"1b","1b","1b","1b","1b"
2026-03-01 14:00:00,813,144,741,72,396.22,"1b","1b","1b","1b","1b"
2026-03-01 15:00:00,760,142,689,71,392.16,"1b","1b","1b","1b","1b"
2026-03-01 16:00:00,883,148,809,74,395.67,"1b","1b","1b","1b","1b"
2026-03-01 17:00:00,1319,154,1242,77,393.15,"1b","1b","1b","1b","1b"
2026-03-01 18:00:00,834,143,763,72,399.53,"1b","1b","1b","1b","1b"
2026-03-01 19:00:00,874,121,814,60,396.73,"1b","1b","1b","1b","1b"
2026-03-01 20:00:00,862,103,811,52,400.85,"1b","1b","1b","1b","1b"
2026-03-01 21:00:00,761,76,723,38,392.83,"1b","1b","1b","1b","1b"
2026-03-01 22:00:00,571,61,541,30,397.97,"1b","1b","1b","1b","1b"
2026-03-01 23:00:00,593,60,563,30,393.97,"1b","1b","1b","1b","1b"
2026-03-02,657,58,628,29,399.54,"1b","1b","1b","1b","1b"
2026-03-02 01:00:00,592,63,560,32,396.06,"1b","1b","1b","1b","1b"
2026-03-02 02:00:00,541,63,509,32,399.09,"1b","1b","1b","1b","1b"
2026-03-02 03:00:00,547,61,516,30,392.72,"1b","1b","1b","1b","1b"
2026-03-02 04:00:00,528,67,494,34,399.43,"1b","1b","1b","1b","1b"
2026-03-02 05:00:00,663,107,610,54,394.96,"1b","1b","1b","1b","1b"
2026-03-02 06:00:00,900,124,838,62,428.07,"1b","1b","1b","1b","1b"
2026-03-02 07:00:00,1053,216,945,108,442.32,"1b","1b","1b","1b","1b"
2026-03-02 08:00:00,1040,273,904,136,459.13,"1b","1b","1b","1b","1b"
2026-03-02 09:00:00,1300,295,1153,148,453.31,"1b","1b","1b","1b","1b"
2026-03-02 10:00:00,1476,292,1330,146,460.18,"1b","1b","1b","1b","1b"
2026-03-02 11:00:00,1747,312,1591,156,442.56,"1b","1b","1b","1b","1b"
2026-03-02 12:00:00,1465,263,1334,132,449.67,"1b","1b","1b","1b","1b"
2026-03-02 13:00:00,1830,244,1708,122,440.55,"1b","1b","1b","1b","1b"
2026-03-02 14:00:00,2129,296,1981,148,427.09,"1b","1b","1b","1b","1b"
2026-03-02 15:00:00,2298,361,2117,180,417.16,"1b","1b","1b","1b","1b"
2026-03-02 16:00:00,2247,344,2075,172,418.22,"1b","1b","1b","1b","1b"
2026-03-02 17:00:00,2690,424,2478,212,409.17,"1b","1b","1b","1b","1b"
2026-03-02 18:00:00,4033,795,3636,398,409.93,"1b","1b","1b","1b","1b"
2026-03-02 19:00:00,2576,619,2266,310,405.42,"1b","1b","1b","1b","1b"
2026-03-02 20:00:00,1728,415,1520,208,412.68,"1b","1b","1b","1b","1b"
2026-03-02 21:00:00,1719,371,1534,186,404.35,"1b","1b","1b","1b","1b"
2026-03-02 22:00:00,899,191,804,96,409.6,"1b","1b","1b","1b","1b"
2026-03-02 23:00:00,1307,238,1188,119,407.08,"1b","1b","1b","1b","1b"
2026-03-03,1420,247,1296,124,414.37,"1b","1b","1b","1b","1b"
2026-03-03 01:00:00,1440,222,1329,111,414.23,"1b","1b","1b","1b","1b"
2026-03-03 02:00:00,1565,316,1407,158,420.38,"1b","1b","1b","1b","1b"
2026-03-03 03:00:00,2650,771,2264,386,414.76,"1b","1b","1b","1b","1b"
2026-03-03 04:00:00,1344,298,1195,149,418.73,"1b","1b","1b","1b","1b"
2026-03-03 05:00:00,1371,259,1242,130,414.93,"1b","1b","1b","1b","1b"
2026-03-03 06:00:00,1465,318,1306,159,426.6,"1b","1b","1b","1b","1b"
2026-03-03 07:00:00,2336,630,2021,315,421.27,"1b","1b","1b","1b","1b"
2026-03-03 08:00:00,2589,824,2177,412,426.87,"1b","1b","1b","1b","1b"
2026-03-03 09:00:00,2759,773,2373,386,419.31,"1b","1b","1b","1b","1b"
2026-03-03 10:00:00,3462,1120,2902,560,426.44,"1b","1b","1b","1b","1b"
2026-03-03 11:00:00,2661,845,2238,422,414.18,"1b","1b","1b","1b","1b"
2026-03-03 12:00:00,2133,752,1757,376,424.77,"1b","1b","1b","1b","1b"
2026-03-03 13:00:00,2301,464,2069,232,417.01,"1b","1b","1b","1b","1b"
2026-03-03 14:00:00,1609,416,1401,208,426.1,"1b","1b","1b","1b","1b"
2026-03-03 15:00:00,1574,314,1417,157,405.8,"1b","1b","1b","1b","1b"
2026-03-03 16:00:00,1686,393,1489,196,404.26,"1b","1b","1b","1b","1b"
2026-03-03 17:00:00,1897,388,1703,194,399.15,"1b","1b","1b","1b","1b"
2026-03-03 18:00:00,1915,392,1719,196,403.34,"1b","1b","1b","1b","1b"
2026-03-03 19:00:00,1807,387,1614,194,396.92,"1b","1b","1b","1b","1b"
2026-03-03 20:00:00,1844,416,1636,208,402.37,"1b","1b","1b","1b","1b"
2026-03-03 21:00:00,1832,433,1616,216,399.01,"1b","1b","1b","1b","1b"
2026-03-03 22:00:00,1708,442,1487,221,405.83,"1b","1b","1b","1b","1b"
2026-03-03 23:00:00,1812,370,1627,185,400.75,"1b","1b","1b","1b","1b"
2026-03-04,1821,369,1637,184,405.66,"1b","1b","1b","1b","1b"
2026-03-04 01:00:00,1657,306,1504,153,402.29,"1b","1b","1b","1b","1b"
2026-03-04 02:00:00,1720,342,1549,171,411.23,"1b","1b","1b","1b","1b"
2026-03-04 03:00:00,1809,370,1624,185,411.12,"1b","1b","1b","1b","1b"
2026-03-04 04:00:00,1651,381,1460,190,418.31,"1b","1b","1b","1b","1b"
2026-03-04 05:00:00,1933,468,1699,234,420.42,"1b","1b","1b","1b","1b"
2026-03-04 06:00:00,2155,619,1846,310,427.87,"1b","1b","1b","1b","1b"
2026-03-04 07:00:00,2281,725,1918,362,429.47,"1b","1b","1b","1b","1b"
2026-03-04 08:00:00,2236,674,1899,337,425.86,"1b","1b","1b","1b","1b"
2026-03-04 09:00:00,2140,577,1852,288,416.57,"1b","1b","1b","1b","1b"
2026-03-04 10:00:00,2343,556,2065,278,415.81,"1b","1b","1b","1b","1b"
2026-03-04 11:00:00,2906,511,2650,256,411.05,"1b","1b","1b","1b","1b"
2026-03-04 12:00:00,2418,502,2167,251,414.14,"1b","1b","1b","1b","1b"
2026-03-04 13:00:00,2688,682,2347,341,429.22,"1b","1b","1b","1b","1b"
2026-03-04 15:00:00,3267,579,2977,290,389.51,"1b","1b","1b","1b","1b"
2026-03-04 16:00:00,3113,604,2811,302,394.34,"1b","1b","1b","1b","1b"
2026-03-04 17:00:00,3829,740,3459,370,396.86,"1b","1b","1b","1b","1b"
2026-03-04 18:00:00,4265,836,3847,418,405.97,"1b","1b","1b","1b","1b"
2026-03-04 19:00:00,4615,955,4138,478,405.58,"1b","1b","1b","1b","1b"
2026-03-04 20:00:00,5181,1415,4474,708,410.66,"1b","1b","1b","1b","1b"
2026-03-04 21:00:00,4955,1303,4304,652,408.52,"1b","1b","1b","1b","1b"
2026-03-04 22:00:00,4735,1173,4149,586,414.38,"1b","1b","1b","1b","1b"
2026-03-04 23:00:00,4789,1036,4271,518,409.73,"1b","1b","1b","1b","1b"
2026-03-05,4418,1031,3902,516,417.04,"1b","1b","1b","1b","1b"
2026-03-05 01:00:00,4641,1049,4116,524,420.77,"1b","1b","1b","1b","1b"
2026-03-05 02:00:00,4615,1054,4088,527,424.75,"1b","1b","1b","1b","1b"
2026-03-05 03:00:00,4817,1088,4273,544,427.03,"1b","1b","1b","1b","1b"
2026-03-05 04:00:00,4474,1036,3956,518,444.95,"1b","1b","1b","1b","1b"
2026-03-05 05:00:00,4666,1022,4155,511,442.32,"1b","1b","1b","1b","1b"
2026-03-05 06:00:00,4526,1053,4000,526,449.18,"1b","1b","1b","1b","1b"
2026-03-05 07:00:00,4827,1204,4225,602,448.71,"1b","1b","1b","1b","1b"
2026-03-05 08:00:00,4843,1373,4157,686,450.99,"1b","1b","1b","1b","1b"
2026-03-05 09:00:00,4574,1212,3968,606,437.7,"1b","1b","1b","1b","1b"
2026-03-05 10:00:00,3959,942,3488,471,439.91,"1b","1b","1b","1b","1b"
2026-03-05 11:00:00,4741,754,4364,377,417.01,"1b","1b","1b","1b","1b"
2026-03-05 12:00:00,4035,712,3679,356,410.07,"1b","1b","1b","1b","1b"
2026-03-05 13:00:00,4400,655,4073,328,399.31,"1b","1b","1b","1b","1b"
2026-03-05 14:00:00,3251,625,2938,312,401.57,"1b","1b","1b","1b","1b"
2026-03-05 15:00:00,3858,678,3519,339,394.56,"1b","1b","1b","1b","1b"
2026-03-05 16:00:00,4130,826,3717,413,424.55,"1b","1b","1b","1b","1b"
2026-03-05 17:00:00,5854,960,5374,480,431.43,"1b","1b","1b","1b","1b"
2026-03-05 18:00:00,6272,1962,5291,981,456.21,"1b","1b","1b","1b","1b"
2026-03-05 19:00:00,10687,2258,9558,1129,451.77,"1b","1b","1b","1b","1b"
2026-03-05 20:00:00,10099,2549,8824,1274,468.92,"1b","1b","1b","1b","1b"
2026-03-05 21:00:00,12145,2565,10863,1282,475.04,"1b","1b","1b","1b","1b"
2026-03-05 22:00:00,5173,1786,4280,893,463.22,"1b","1b","1b","1b","1b"
2026-03-05 23:00:00,1635,455,1407,228,435.79,"1b","1b","1b","1b","1b"
2026-03-06,827,252,701,126,418.61,"1b","1b","1b","1b","1b"
2026-03-06 01:00:00,738,169,653,84,406.31,"1b","1b","1b","1b","1b"
2026-03-06 02:00:00,601,209,497,104,403.75,"1b","1b","1b","1b","1b"
2026-03-06 03:00:00,504,134,437,67,402.71,"1b","1b","1b","1b","1b"
